"LifetimeID","Name","Breed","DamLifetimeID","SireLifetimeID","BWRel","FatRel","ProteinRel","MilkRel","WeightRel","SurvivalRel","BW","FatBV","ProteinBV","MilkBV","WeightBV","SurvivalBV","DateBWUpdated","FirstDateUsed","LastDateUsed"
"89294","","","","","","","","","","","","","","","","","","1993-11-04 00:00:00","1993-11-04 00:00:00"
"90207","","","","","92.7000","","","","","","50.8000","","","","","","1998-03-10 00:00:00","",""
"90242","","","","","98.8000","","","","","","70.0000","","","","","","1998-04-03 00:00:00","1994-06-21 00:00:00","1995-11-03 00:00:00"
"90251","","","","","","","","","","","","","","","","","","1995-06-21 00:00:00","1995-06-21 00:00:00"
"90258","MCHARDYS BIRCH                ","","","","99.0000","","","","","","70.5000","","","","","","1998-04-03 00:00:00","1994-06-01 00:00:00","1996-11-21 00:00:00"
"90274","SR DAWSONS BELVEDERE          ","","","","99.0000","","","","","","84.3000","","","","","","1998-04-03 00:00:00","1994-06-09 00:00:00","1998-06-10 00:00:00"
"90281","KINGSMILL P A WALESA          ","","","","99.0000","","","","","","90.9000","","","","","","1998-04-03 00:00:00","1994-06-01 00:00:00","1998-06-11 00:00:00"
"90293","","","","","","","","","","","","","","","","","","1995-06-24 00:00:00","1995-06-24 00:00:00"
"90302","","","","","97.6000","","","","","","46.6000","","","","","","1998-04-03 00:00:00","",""
"91201","WELBURN A V HERMES            ","","","","92.0000","","","","","","72.8000","","","","","","1998-04-03 00:00:00","1995-06-05 00:00:00","1996-11-18 00:00:00"
"91207","","","","","89.3000","","","","","","54.2000","","","","","","1998-04-03 00:00:00","1995-06-03 00:00:00","1995-06-05 00:00:00"
"91208","","","","","93.4000","","","","","","83.3000","","","","","","1998-04-03 00:00:00","1995-06-07 00:00:00","1996-06-11 00:00:00"
"91217","","","","","91.1000","","","","","","33.2000","","","","","","1998-04-03 00:00:00","1995-07-01 00:00:00","1995-11-12 00:00:00"
"91228","","","","","","","","","","","","","","","","","","1995-07-06 00:00:00","1995-07-06 00:00:00"
"91229","FORDS CASANOVA                ","","","","89.7000","","","","","","62.0000","","","","","","1998-04-03 00:00:00","1995-06-22 00:00:00","1996-10-18 00:00:00"
"91236","","","","","89.9000","","","","","","81.1000","","","","","","1998-04-03 00:00:00","1996-06-07 00:00:00","1996-07-12 00:00:00"
"91288","","","","","","","","","","","","","","","","","","1995-07-06 00:00:00","1995-07-06 00:00:00"
"91293","","","","","91.1000","","","","","","56.8000","","","","","","1998-04-03 00:00:00","1995-06-10 00:00:00","1995-11-21 00:00:00"
"92201","","","","","90.7000","","","","","","63.9000","","","","","","1998-04-03 00:00:00","1996-06-05 00:00:00","1996-07-15 00:00:00"
"92255","SR JUDDS DRACHMA              ","","","","88.3000","","","","","","79.6000","","","","","","1998-04-03 00:00:00","1996-06-07 00:00:00","1996-11-05 00:00:00"
"92303","SR KARLS DAGGER               ","","","","90.6000","","","","","","65.7000","","","","","","1998-04-03 00:00:00","1996-06-13 00:00:00","1996-11-20 00:00:00"
