psmKey,cowKey,psmCalvDate,psmDate,comment
1452,517,2/04/92,1/06/92,
1453,517,,4/06/91,
1462,519,26/03/93,1/06/93,
1463,519,25/03/92,1/06/92,
1464,519,5/05/91,1/06/91,
1469,520,,1/06/93,
1474,521,,1/06/93,
1483,524,,1/06/93,
1492,527,16/04/93,1/06/93,
1493,527,16/03/92,1/06/92,
1494,527,16/03/91,1/06/91,
1499,528,19/03/93,1/06/93,
1500,528,7/05/92,1/06/92,
1501,528,20/03/91,1/06/91,
1519,535,11/03/93,1/06/93,
1520,535,25/04/92,1/06/92,
1521,535,8/03/91,1/06/91,
1545,544,17/04/93,1/06/93,
1546,544,19/03/92,1/06/92,
1547,544,13/03/91,1/06/91,
1577,555,29/03/93,1/06/93,
1578,555,,1/06/92,
1585,557,1/04/93,1/06/93,
1586,557,2/03/92,1/06/92,
1587,557,6/03/91,1/06/91,
1596,559,18/05/93,1/06/93,
1597,559,23/03/92,1/06/92,
1598,559,29/03/91,1/06/91,
1603,560,,1/06/93,
1655,595,,1/06/93,
1668,603,31/03/93,1/06/93,
1669,603,11/04/92,1/06/92,
1670,603,1/03/91,1/06/91,
1676,606,,1/06/93,
1681,607,12/03/93,1/06/93,
1682,607,2/03/92,1/06/92,
1683,607,14/03/91,1/06/91,
1688,608,23/03/93,1/06/93,
1689,608,19/03/92,1/06/92,
1690,608,5/05/91,1/06/91,
1702,611,29/03/93,1/06/93,
1703,611,5/03/92,1/06/92,
1704,611,6/03/91,1/06/91,
1709,612,8/04/93,1/06/93,
1710,612,19/04/92,1/06/92,
1711,612,,4/06/91,
1715,613,24/03/93,1/06/93,
1716,613,,1/06/92,
1720,614,9/05/93,1/06/93,
1721,614,3/03/92,1/06/92,
1722,614,,4/06/91,
1731,616,,1/06/93,
1739,618,1/05/93,1/06/93,
1740,618,28/03/92,1/06/92,
1741,618,,4/06/91,
1746,619,,1/06/93,
1751,620,22/03/93,1/06/93,
1752,620,17/03/92,1/06/92,
1753,620,3/04/91,1/06/91,
1758,621,25/03/93,1/06/93,
1759,621,,1/06/92,
1767,623,15/03/93,1/06/93,
1768,623,12/03/92,1/06/92,
1781,627,28/03/93,1/06/93,
1782,627,18/03/92,1/06/92,
1783,627,,4/06/91,
1788,628,20/05/93,1/06/93,
1789,628,20/04/92,1/06/92,
1790,628,18/03/91,1/06/91,
1798,630,,1/06/93,
1807,632,11/03/93,1/06/93,
1808,632,21/03/92,1/06/92,
1809,632,22/03/91,1/06/91,
1813,633,25/04/93,1/06/93,
1814,633,27/02/92,1/06/92,
1815,633,2/04/91,1/06/91,
1820,634,15/03/93,1/06/93,
1821,634,12/04/92,1/06/92,
1822,634,30/04/91,1/06/91,
1830,636,1/04/93,1/06/93,
1831,636,,1/06/92,
1835,637,,1/06/93,
1853,646,26/02/93,1/06/93,
1854,646,,1/06/92,
1867,651,12/03/93,1/06/93,
1868,651,8/10/91,1/06/92,
1876,654,8/04/93,1/06/93,
1877,654,25/03/92,1/06/92,
