ServKey,CowKey,servDate,servType,Sire,Technician,Batch,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,HoursSinceObservedHeat,SemenType,SemenStorage,SemenUnitCost,TimeOfAI,SplitStraw,DateHeatDetected
103,71,11/06/93,AI,88225,DCBA,,,,,,,,,,,,
104,71,29/06/92,AI,87224,DCBA,,,,,,,,,,,,
105,71,16/07/92,NM,0,,,,,,,,,,,,,
106,71,6/06/91,AI,83283,,,,,,,,,,,,,
107,72,1/06/92,AI,87224,DCBA,,,,,,,,,,,,
108,72,25/06/92,AI,87224,DCBA,,,,,,,,,,,,
109,72,5/06/91,AI,83283,,,,,,,,,,,,,
110,73,23/06/92,AI,87224,DCBA,,,,,,,,,,,,
111,73,16/07/92,NM,0,,,,,,,,,,,,,
112,73,12/08/92,NM,0,,,,,,,,,,,,,
113,73,10/06/91,AI,86279,DCBA,,,,,,,,,,,,
114,74,4/06/93,AI,87203,DCBA,,,,,,,,,,,,
115,74,12/06/92,AI,87203,FRED,,,,,,,,,,,,
116,74,2/07/92,AI,87224,DCBA,,,,,,,,,,,,
117,74,21/06/91,AI,86279,DCBA,,,,,,,,,,,,
118,75,11/06/92,AI,86279,JILL,,,,,,,,,,,,
119,75,6/06/91,AI,83283,,,,,,,,,,,,,
120,76,17/06/92,AI,87224,DCBA,,,,,,,,,,,,
121,76,20/07/92,NM,0,,,,,,,,,,,,,
122,76,4/08/92,NM,0,,,,,,,,,,,,,
123,76,4/06/91,AI,83283,DCBA,,,,,,,,,,,,
124,77,2/06/92,AI,87208,DCBA,,,,,,,,,,,,
125,77,18/07/92,NM,0,,,,,,,,,,,,,
126,77,18/06/91,AI,83283,DCBA,,,,,,,,,,,,
127,78,6/06/92,AI,87224,DCBA,,,,,,,,,,,,
128,78,9/06/91,AI,86279,,,,,,,,,,,,,
129,78,3/07/91,AI,83283,BOB,,,,,,,,,,,,
130,78,18/08/91,NM,,,,,,,,,,,,,,
131,79,29/06/92,AI,87224,DCBA,,,,,,,,,,,,
132,79,22/07/92,NM,0,,,,,,,,,,,,,
133,79,27/06/91,AI,85203,DCBA,,,,,,,,,,,,
134,79,23/07/91,NM,,,,,,,,,,,,,,
135,79,13/08/91,NM,,,,,,,,,,,,,,
136,80,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
137,80,20/06/91,AI,85264,DCBA,,,,,,,,,,,,
138,80,15/07/91,NM,,,,,,,,,,,,,,
139,81,1/06/93,AI,88269,DCBA,,,,,,,,,,,,
140,81,21/06/92,AI,87268,DCBA,,,,,,,,,,,,
141,81,10/08/92,NM,0,,,,,,,,,,,,,
142,81,15/08/92,NM,0,,,,,,,,,,,,,
143,81,13/06/91,AI,85203,,,,,,,,,,,,,
144,81,4/07/91,AI,83283,BOB,,,,,,,,,,,,
145,81,27/07/91,NM,,,,,,,,,,,,,,
146,81,21/08/91,NM,,,,,,,,,,,,,,
147,82,1/06/92,AI,87224,DCBA,,,,,,,,,,,,
148,82,21/06/92,AI,87224,DCBA,,,,,,,,,,,,
149,82,9/07/92,AI,88269,DCBA,,,,,,,,,,,,
150,82,5/08/92,NM,0,,,,,,,,,,,,,
151,82,25/06/91,AI,85203,DCBA,,,,,,,,,,,,
152,82,16/07/91,NM,,,,,,,,,,,,,,
153,82,8/08/91,NM,,,,,,,,,,,,,,
154,83,6/06/93,AI,88241,DCBA,,,,,,,,,,,,
155,83,7/06/92,AI,87224,DCBA,,,,,,,,,,,,
156,83,2/07/92,AI,87224,DCBA,,,,,,,,,,,,
157,83,22/07/92,NM,0,,,,,,,,,,,,,
158,83,15/06/91,AI,85273,,,,,,,,,,,,,
159,84,19/06/92,AI,87203,DCBA,,,,,,,,,,,,
160,84,10/07/92,AI,88225,DCBA,,,,,,,,,,,,
161,84,3/08/92,NM,0,,,,,,,,,,,,,
162,84,16/06/91,AI,85273,,,,,,,,,,,,,
163,85,4/06/92,AI,87268,DCBA,,,,,,,,,,,,
164,85,25/06/92,AI,87224,DCBA,,,,,,,,,,,,
165,85,19/07/92,NM,0,,,,,,,,,,,,,
166,85,7/08/92,NM,0,,,,,,,,,,,,,
167,85,30/10/92,NM,,,,,,,,,,,,,,
168,85,14/06/91,AI,85273,,,,,,,,,,,,,
