"joinKey","cowKey","jsDate","jeDate","joinSire","jsComment","jeComment"
"123","150","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"124","150","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"125","151","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"126","151","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"127","152","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"128","152","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"129","154","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"130","154","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"131","155","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"132","155","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"133","156","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"134","156","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"135","157","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"136","158","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"137","158","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"138","159","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"139","160","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"140","160","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"141","161","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"142","161","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"143","163","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"144","164","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"145","164","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"148","167","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"149","167","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"153","169","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"154","169","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"158","171","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"160","172","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"162","173","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"163","173","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"168","175","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"170","176","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"171","176","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"173","177","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"174","177","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"177","178","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"178","178","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"180","179","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"183","180","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
