abortKey,CowKey,abortDate,Comment,ObservedFM,AbortionCause
1,13,"10/01/06 00:00:00",,,
2,14,"02/17/07 00:00:00",,,
3,32,"10/01/06 00:00:00",,,
4,80,"12/01/07 00:00:00",,,
5,122,"11/28/08 00:00:00",,,
6,134,"01/03/09 00:00:00",,,
