GroupID,CowKey
1,465
1,466
1,469
1,470
1,473
1,475
1,476
1,477
1,478
1,480
1,482
1,484
1,485
1,486
1,488
1,491
1,492
1,493
1,495
1,496
1,498
1,499
1,501
1,502
1,504
1,507
1,508
1,509
1,510
1,511
1,512
1,513
1,514
1,516
1,520
1,523
1,524
1,525
1,529
1,530
1,531
1,533
1,534
1,536
1,539
1,540
1,541
1,542
1,543
1,546
1,547
1,548
1,549
1,552
1,553
1,554
1,555
1,556
1,559
1,560
1,562
1,563
1,564
1,565
1,566
1,568
1,569
1,570
1,571
1,572
1,573
1,574
1,576
1,577
1,579
1,581
1,585
1,586
1,588
1,589
1,590
1,591
1,592
1,593
1,596
1,597
1,598
1,599
1,601
1,602
1,604
1,605
1,607
1,609
1,610
1,611
1,612
1,615
1,617
1,618
1,619
1,620
1,621
1,622
1,624
1,626
1,627
1,629
1,630
1,631
1,632
1,633
1,634
1,635
1,636
1,638
1,639
1,640
1,641
1,642
1,643
1,644
1,645
1,646
1,647
1,648
1,649
1,650
1,652
1,653
1,655
1,656
1,658
1,659
1,660
1,661
1,664
1,665
1,666
1,667
1,668
1,670
1,671
1,672
1,674
1,675
1,676
1,677
1,678
1,679
1,680
1,681
1,683
1,685
1,686
1,687
1,688
1,690
1,691
1,692
1,693
1,694
1,695
1,696
1,697
1,698
1,700
1,701
1,702
1,704
1,705
1,706
1,707
1,708
1,709
1,710
1,711
1,713
1,715
1,717
1,719
1,720
1,721
1,722
1,726
1,729
1,733
1,734
1,735
1,736
1,737
1,738
1,739
1,740
1,741
1,742
1,743
1,744
1,748
1,749
1,750
1,751
1,752
1,753
1,754
1,755
1,756
1,760
1,761
1,762
1,763
1,764
1,765
1,767
1,769
1,771
1,772
1,773
1,775
1,776
1,777
1,778
1,779
1,780
1,781
1,782
1,783
1,784
1,785
1,787
1,789
1,790
1,791
1,792
1,793
1,838
1,845
1,847
1,849
1,851
1,853
1,854
1,855
1,859
1,860
1,861
1,862
1,864
1,865
1,866
1,869
1,870
1,874
1,877
1,878
1,880
1,883
1,884
1,886
1,888
1,890
1,894
1,896
1,898
1,900
1,902
1,972
1,973
1,974
1,975
1,976
1,1025
1,1026
2,540
2,571
2,607
2,609
2,610
2,619
2,620
2,621
2,622
2,629
2,631
2,635
2,641
2,645
2,647
2,648
2,649
2,653
2,655
2,658
2,659
2,660
2,661
2,838
2,849
2,851
2,855
2,864
2,880
2,883
2,902
2,975
2,976
3,1029
3,1030
3,1032
3,1033
3,1034
3,1035
3,1036
3,1037
3,1038
3,1039
3,1040
3,1041
3,1043
3,1044
3,1045
3,1047
3,1048
5,564
5,565
5,566
5,568
5,569
5,570
5,571
5,572
5,573
5,574
5,576
5,577
5,579
5,581
5,588
5,589
5,590
5,591
5,592
5,596
5,598
5,599
5,601
5,605
5,607
5,609
5,610
5,611
5,612
5,615
5,617
5,618
5,619
5,620
5,621
5,622
5,624
5,626
5,627
5,629
5,630
5,631
5,632
5,633
5,634
5,635
5,636
5,638
5,639
5,640
5,642
5,643
5,644
5,645
5,646
5,647
5,648
5,649
5,650
5,652
5,653
5,655
5,656
5,658
5,659
5,660
5,661
5,755
5,760
5,761
5,763
5,764
5,773
5,775
5,780
5,783
5,784
5,787
5,791
5,799
5,838
5,841
5,847
5,849
5,851
5,855
5,861
5,864
5,880
5,883
5,894
5,899
5,902
5,918
5,920
5,921
5,925
5,926
5,932
5,935
5,974
5,975
5,976
5,1087
6,465
6,466
6,469
6,470
6,473
6,475
6,476
6,477
6,478
6,480
6,482
6,484
6,486
6,488
6,491
6,492
6,493
6,495
6,498
6,499
6,501
6,502
6,504
6,507
6,508
6,511
6,512
6,513
6,514
6,516
6,520
6,523
6,524
6,525
6,529
6,530
6,531
6,533
6,534
6,539
6,540
6,541
6,542
6,543
6,546
6,547
6,548
6,549
6,552
6,554
6,555
6,556
6,559
6,563
6,845
6,853
6,854
6,859
6,860
6,862
6,865
6,866
6,869
6,870
6,874
6,877
6,878
6,882
6,884
6,886
6,888
6,890
6,892
6,896
6,898
6,900
6,972
6,973
6,1085
6,1086
7,536
7,664
7,665
7,666
7,667
7,668
7,670
7,671
7,672
7,674
7,676
7,677
7,678
7,679
7,680
7,681
7,683
7,685
7,686
7,687
7,688
7,690
7,691
7,693
7,694
7,695
7,696
7,697
7,698
7,700
7,701
7,702
7,704
7,705
7,706
7,707
7,708
7,709
7,710
7,711
7,713
7,715
7,717
7,719
7,720
7,722
7,726
7,729
7,733
7,734
7,736
7,737
7,738
7,739
7,741
7,742
7,744
7,748
7,749
7,750
7,751
7,752
7,753
7,754
7,756
7,762
7,765
7,767
7,769
7,771
7,772
7,776
7,777
7,778
7,779
7,782
7,785
7,789
7,790
7,795
7,798
7,906
7,907
7,910
7,911
7,912
7,913
7,914
7,916
7,917
7,919
7,922
7,924
7,927
7,928
7,930
7,931
7,933
7,936
7,1025
7,1026
8,571
8,607
8,609
8,610
8,615
8,619
8,620
8,621
8,622
8,627
8,629
8,631
8,632
8,635
8,636
8,643
8,644
8,647
8,648
8,649
8,652
8,653
8,655
8,656
8,658
8,659
8,660
8,661
8,760
8,838
8,841
8,847
8,849
8,851
8,855
8,861
8,864
8,880
8,883
8,894
8,899
8,902
8,974
8,975
8,976
9,564
9,566
9,569
9,570
9,572
9,573
9,576
9,577
9,581
9,585
9,588
9,589
9,590
9,591
9,592
9,596
9,597
9,598
9,599
9,601
9,604
9,605
9,617
9,624
9,626
9,633
9,639
9,640
9,646
9,755
9,761
9,763
9,764
9,773
9,775
9,780
9,783
9,784
9,787
9,791
9,799
9,918
9,926
9,931
9,933
10,475
10,476
10,482
10,484
10,488
10,491
10,498
10,501
10,502
10,504
10,513
10,514
10,516
10,520
10,524
10,525
10,529
10,531
10,541
10,542
10,543
10,546
10,547
10,552
10,563
10,845
10,859
10,866
10,878
10,882
10,890
10,973
11,536
11,664
11,665
11,666
11,668
11,672
11,678
11,679
11,683
11,686
11,691
11,709
11,710
11,715
11,717
11,719
11,734
11,736
11,742
11,750
11,754
11,756
11,765
11,772
11,776
11,779
11,790
11,795
11,798
11,906
11,911
11,912
11,919
11,931
11,933
11,936
12,564
12,565
12,568
12,569
12,571
12,581
12,588
12,589
12,590
12,591
12,592
12,601
12,609
12,610
12,615
12,617
12,619
12,622
12,626
12,629
12,631
12,635
12,636
12,639
12,640
12,647
12,648
12,653
12,655
12,658
12,659
12,660
12,755
12,761
12,773
12,775
12,784
12,799
12,841
12,847
12,849
12,883
12,894
12,918
12,926
12,974
12,975
12,976
13,794
13,867
13,937
13,938
13,939
13,941
13,942
13,943
13,944
13,945
13,946
13,947
13,948
13,949
13,950
13,951
13,952
13,953
13,954
13,955
13,957
13,959
13,960
13,961
13,962
13,964
13,965
13,966
13,967
13,968
13,969
13,980
13,983
13,984
14,516
14,621
14,648
14,659
14,864
14,883
14,890
14,953
14,959
14,961
