ExitKey,CowKey,EventDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3
119,119,"02/28/09 00:00:00","CULLED","FTC",,
120,120,"02/28/09 00:00:00","CULLED","LAMEREM",,
121,121,"07/22/08 00:00:00","CULLED",,,
122,122,"02/28/09 00:00:00","CULLED","ABORT","FTC",
123,123,"02/28/09 00:00:00","CULLED","FTC",,
124,124,"02/28/09 00:00:00","CULLED","FTC",,
125,125,"05/17/08 00:00:00","CULLED",,,
126,126,"02/28/09 00:00:00","DIED","UNKNWN",,
127,127,"02/28/09 00:00:00","CULLED","FTC",,
128,128,"02/28/09 00:00:00","CULLED","FTC",,
129,129,"02/28/09 00:00:00","CULLED","FTC",,
130,130,"02/28/09 00:00:00","CULLED","FTC",,
131,131,"02/28/09 00:00:00","CULLED","FTC",,
132,132,"02/28/09 00:00:00","CULLED","FTC",,
133,133,"02/28/09 00:00:00","CULLED","FTC",,
134,134,"02/28/09 00:00:00","CULLED","ABORT","FTC",
135,135,"02/28/09 00:00:00","CULLED","NOTPREGNANT","MASTREM","LOWPRD"
136,136,"02/28/09 00:00:00","CULLED","FTC",,
137,137,"07/22/08 00:00:00","CULLED",,,
138,138,"03/07/09 00:00:00","CULLED","FTC",,
139,139,"05/17/08 00:00:00","CULLED",,,
140,140,"08/06/08 00:00:00","DIED","UNKNWN",,
141,141,"02/28/09 00:00:00","CULLED","FTC",,
142,142,"02/28/09 00:00:00","SOLD","FTC",,
143,143,"02/28/09 00:00:00","SOLD",,,
144,144,"02/28/09 00:00:00","SOLD","FTC",,
145,145,"06/16/09 00:00:00","SOLD","FTC",,
146,146,"02/28/09 00:00:00","SOLD","FTC",,
147,147,"02/28/09 00:00:00","SOLD","FTC",,
148,148,"02/28/09 00:00:00","SOLD",,,
149,149,"02/28/09 00:00:00","SOLD","FTC",,
150,150,"02/28/09 00:00:00","SOLD","FTC",,
151,151,"06/15/09 00:00:00","SOLD",,,
152,152,"02/28/09 00:00:00","SOLD","FTC",,
153,153,"02/28/09 00:00:00","CULLED","FTC",,
154,154,"02/28/09 00:00:00","SOLD",,,
155,155,"06/15/09 00:00:00","SOLD",,,
156,156,"06/15/09 00:00:00","SOLD",,,
157,157,"02/28/09 00:00:00","SOLD","FTC",,
158,158,"06/15/09 00:00:00","SOLD",,,
159,159,"06/15/09 00:00:00","SOLD",,,
160,160,"06/15/09 00:00:00","SOLD",,,
161,161,"06/15/09 00:00:00","SOLD",,,
162,162,"02/28/09 00:00:00","CULLED","FTC",,
163,163,"06/16/09 00:00:00","SOLD","FTC",,
164,164,"02/28/09 00:00:00","SOLD","FTC",,
165,165,"03/15/07 00:00:00","CULLED","TB",,
166,166,"01/11/10 00:00:00","SOLD","ABORT","MASTREM",
167,167,"12/29/09 00:00:00","SOLD","UNKNWN",,
168,168,"08/31/11 00:00:00","SOLD",,,
169,169,"12/29/09 00:00:00","SOLD","UNKNWN",,
170,170,"06/13/10 00:00:00","CULLED","BADTYPE",,
171,171,"07/22/11 00:00:00","CULLED","LOWPRD","HI CEL","UDR BD"
172,172,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
173,173,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
174,174,"08/31/11 00:00:00","SOLD",,,
175,175,"03/01/11 00:00:00","SOLD","OTHERC",,
176,176,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
177,177,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
178,178,"02/26/11 00:00:00","CULLED","FTC",,
179,179,"12/29/09 00:00:00","SOLD","UNKNWN",,
180,180,"02/01/11 00:00:00","SOLD","OTHERC",,
181,181,"03/01/11 00:00:00","SOLD","OTHERC",,
182,182,"03/01/11 00:00:00","SOLD","OTHERC",,
183,183,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
184,184,"12/29/09 00:00:00","SOLD","UNKNWN",,
185,185,"12/29/09 00:00:00","SOLD","UNKNWN",,
186,186,"05/15/11 00:00:00","CULLED","UDR BD",,
187,187,"12/03/10 00:00:00","CULLED",,,
188,188,"07/29/11 00:00:00","SOLD",,,
189,189,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
190,190,"02/07/09 00:00:00","DIED","UNKNWN",,
191,191,"07/29/11 00:00:00","SOLD",,,
192,192,"02/01/11 00:00:00","SOLD","OTHERC",,
193,193,"02/26/11 00:00:00","CULLED","FTC",,
194,194,"03/13/11 00:00:00","DIED","G STAG",,
195,195,"12/03/10 00:00:00","CULLED",,,
196,196,"03/01/11 00:00:00","SOLD","OTHERC",,
197,197,"03/01/11 00:00:00","SOLD","OTHERC",,
198,198,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
199,199,"03/01/11 00:00:00","SOLD","OTHERC",,
200,200,"03/01/11 00:00:00","SOLD","OTHERC",,
201,201,"03/01/11 00:00:00","SOLD","OTHERC",,
202,202,"02/01/11 00:00:00","SOLD","OTHERC",,
203,203,"02/01/11 00:00:00","SOLD","OTHERC",,
204,204,"06/13/10 00:00:00","CULLED",,,
205,205,"02/01/11 00:00:00","SOLD","OTHERC",,
206,206,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
207,207,"01/11/10 00:00:00","SOLD","ABORT","MASTREM",
208,208,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
209,209,"12/29/09 00:00:00","SOLD","UNKNWN",,
210,210,"08/31/11 00:00:00","SOLD",,,
211,211,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
212,212,"10/10/11 00:00:00","CULLED","MASTREM",,
213,213,"10/10/11 00:00:00","CULLED","LAMEREM","OLDAGE",
214,214,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
215,215,"02/01/11 00:00:00","SOLD","OTHERC",,
216,216,"10/10/11 00:00:00","CULLED","MASTREM",,
217,217,"08/31/11 00:00:00","SOLD",,,
218,218,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
219,219,"02/28/09 00:00:00","CULLED","FTC",,
220,220,"12/03/10 00:00:00","CULLED",,,
221,221,"12/03/10 00:00:00","CULLED",,,
222,222,"02/26/11 00:00:00","CULLED","FTC",,
223,223,"02/01/11 00:00:00","SOLD","OTHERC",,
224,224,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
225,225,"03/01/11 00:00:00","SOLD","OTHERC",,
226,226,"07/29/11 00:00:00","SOLD",,,
227,227,"10/04/11 00:00:00","SOLD","SLOW",,
228,228,"06/13/10 00:00:00","CULLED","FTC",,
229,229,"12/29/09 00:00:00","SOLD","UNKNWN",,
230,230,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
231,231,"02/01/11 00:00:00","SOLD","OTHERC",,
232,232,"01/11/10 00:00:00","SOLD","ABORT","MASTREM",
233,233,"07/29/11 00:00:00","SOLD",,,
234,234,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
235,235,"03/01/11 00:00:00","SOLD","OTHERC",,
236,236,"12/03/10 00:00:00","CULLED",,,
237,237,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
238,238,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
239,239,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
240,240,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
241,241,"06/13/10 00:00:00","SOLD","BADTYPE","HI CEL",
242,242,"06/13/10 00:00:00","CULLED","FTC",,
243,243,"02/01/11 00:00:00","SOLD","OTHERC",,
244,244,"08/31/11 00:00:00","SOLD",,,
245,245,"12/29/09 00:00:00","SOLD","UNKNWN",,
246,246,"03/01/11 00:00:00","SOLD","OTHERC",,
247,247,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
248,248,"06/13/10 00:00:00","CULLED","REPDIS",,
249,249,"12/29/09 00:00:00","SOLD",,,
250,250,"12/29/09 00:00:00","SOLD","UNKNWN",,
251,251,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
252,252,"02/26/11 00:00:00","CULLED","FTC",,
253,253,"12/29/09 00:00:00","SOLD","UNKNWN",,
254,254,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
255,255,"02/01/11 00:00:00","SOLD","OTHERC",,
256,256,"07/29/11 00:00:00","SOLD",,,
257,257,"09/26/11 00:00:00","DIED","UNKNWN",,
258,258,"02/01/11 00:00:00","SOLD","OTHERC",,
259,259,"06/13/10 00:00:00","CULLED",,,
260,260,"02/01/11 00:00:00","SOLD","OTHERC",,
261,261,"12/29/09 00:00:00","SOLD","UNKNWN",,
262,262,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
263,263,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
264,264,"08/31/11 00:00:00","SOLD",,,
265,265,"02/01/11 00:00:00","SOLD","OTHERC",,
266,266,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
267,267,"12/03/10 00:00:00","CULLED",,,
268,268,"07/29/11 00:00:00","SOLD",,,
269,269,"02/01/11 00:00:00","SOLD","OTHERC",,
270,270,"03/01/11 00:00:00","SOLD","OTHERC",,
271,271,"07/22/11 00:00:00","CULLED","LOWPRD","HI CEL","UDR BD"
272,272,"12/29/09 00:00:00","SOLD","UNKNWN",,
