psmKey,cowKey,psmCalvDate,psmDate,comment
1,1,,"06/04/06 00:00:00",
2,2,,"06/04/06 00:00:00",
3,3,,"06/04/06 00:00:00",
4,4,,"06/04/06 00:00:00",
5,5,,"06/04/06 00:00:00",
6,6,,"06/04/06 00:00:00",
7,9,"03/31/07 00:00:00","06/01/07 00:00:00",
8,10,"04/19/06 00:00:00","06/01/06 00:00:00",
9,11,"03/24/06 00:00:00","06/01/06 00:00:00",
10,12,"02/28/06 00:00:00","06/01/06 00:00:00",
11,13,"03/06/06 00:00:00","06/01/06 00:00:00",
12,14,"03/20/06 00:00:00","06/01/06 00:00:00",
13,15,"03/19/06 00:00:00","06/01/06 00:00:00",
14,16,"03/14/07 00:00:00","06/01/07 00:00:00",
15,16,"04/05/06 00:00:00","06/01/06 00:00:00",
16,17,"04/22/06 00:00:00","06/01/06 00:00:00",
17,18,"04/24/06 00:00:00","06/01/06 00:00:00",
18,19,"04/24/06 00:00:00","06/01/06 00:00:00",
19,20,"04/25/06 00:00:00","06/01/06 00:00:00",
20,21,"04/20/07 00:00:00","06/01/07 00:00:00",
21,22,"05/04/06 00:00:00","06/01/06 00:00:00",
22,23,"05/30/06 00:00:00","06/01/06 00:00:00",
23,24,"05/26/06 00:00:00","06/01/06 00:00:00",
24,25,"01/11/06 00:00:00","06/01/06 00:00:00",
25,26,"03/05/06 00:00:00","06/01/06 00:00:00",
26,27,"03/02/06 00:00:00","06/01/06 00:00:00",
27,28,"03/30/06 00:00:00","06/01/06 00:00:00",
28,29,"03/09/07 00:00:00","06/01/07 00:00:00",
29,29,"03/04/06 00:00:00","06/01/06 00:00:00",
30,30,"03/28/06 00:00:00","06/01/06 00:00:00",
31,31,"05/30/06 00:00:00","06/01/06 00:00:00",
32,32,"03/21/06 00:00:00","06/01/06 00:00:00",
33,33,"03/20/06 00:00:00","06/01/06 00:00:00",
34,34,"03/17/06 00:00:00","06/01/06 00:00:00",
35,35,"04/29/06 00:00:00","06/01/06 00:00:00",
36,36,"05/01/06 00:00:00","06/01/06 00:00:00",
37,37,"05/30/06 00:00:00","06/01/06 00:00:00",
38,38,"04/08/06 00:00:00","06/01/06 00:00:00",
39,39,"04/15/07 00:00:00","06/01/07 00:00:00",
40,40,"05/08/06 00:00:00","06/01/06 00:00:00",
41,41,"03/25/07 00:00:00","06/01/07 00:00:00",
42,43,"09/30/06 00:00:00","11/22/06 00:00:00",
43,44,"10/01/06 00:00:00","06/01/07 00:00:00",
44,45,"05/30/06 00:00:00","06/01/06 00:00:00",
45,48,,"06/01/07 00:00:00",
46,49,,"06/01/08 00:00:00",
47,50,,"06/01/08 00:00:00",
48,51,,"06/01/07 00:00:00",
49,52,,"06/01/08 00:00:00",
50,53,,"06/01/08 00:00:00",
51,54,,"06/01/08 00:00:00",
52,55,,"06/01/08 00:00:00",
53,56,,"06/01/08 00:00:00",
