joinKey,cowKey,jsDate,jeDate,joinSire,jsComment,jeComment
288,215,"07/12/08 00:00:00","08/27/08 00:00:00",,,
289,215,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
292,216,"07/12/08 00:00:00","08/27/08 00:00:00",,,
293,216,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
296,217,"07/12/08 00:00:00","08/27/08 00:00:00",,,
297,217,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
299,218,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
302,220,"07/12/08 00:00:00","08/27/08 00:00:00",,,
303,220,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
306,221,"07/12/08 00:00:00","08/27/08 00:00:00",,,
307,221,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
310,222,"07/12/08 00:00:00","08/27/08 00:00:00",,,
311,222,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
314,223,"07/12/08 00:00:00","08/27/08 00:00:00",,,
316,224,"07/12/08 00:00:00","08/27/08 00:00:00",,,
317,224,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
320,225,"07/12/08 00:00:00","08/27/08 00:00:00",,,
323,226,"07/12/08 00:00:00","08/27/08 00:00:00",,,
326,227,"07/12/08 00:00:00","08/27/08 00:00:00",,,
328,228,"07/12/08 00:00:00","08/27/08 00:00:00",,,
329,228,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
331,229,"07/12/08 00:00:00","08/27/08 00:00:00",,,
332,229,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
334,230,"07/12/08 00:00:00","08/27/08 00:00:00",,,
335,230,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
341,233,"07/12/08 00:00:00","08/27/08 00:00:00",,,
343,234,"07/12/08 00:00:00","08/27/08 00:00:00",,,
344,234,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
349,236,"07/12/08 00:00:00","08/27/08 00:00:00",,,
351,237,"07/12/08 00:00:00","08/27/08 00:00:00",,,
352,237,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
354,238,"07/12/08 00:00:00","08/27/08 00:00:00",,,
355,238,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
357,239,"07/12/08 00:00:00","08/27/08 00:00:00",,,
358,239,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
360,240,"07/12/08 00:00:00","08/27/08 00:00:00",,,
361,240,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
363,241,"07/12/08 00:00:00","08/27/08 00:00:00",,,
369,244,"07/12/08 00:00:00","08/27/08 00:00:00",,,
370,244,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
372,245,"07/12/08 00:00:00","08/27/08 00:00:00",,,
373,245,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
378,248,"07/12/08 00:00:00","08/27/08 00:00:00",,,
379,248,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
381,249,"07/12/08 00:00:00","08/27/08 00:00:00",,,
382,249,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
384,250,"07/12/08 00:00:00","08/27/08 00:00:00",,,
385,250,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
387,251,"07/12/08 00:00:00","08/27/08 00:00:00",,,
388,251,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
392,253,"07/12/08 00:00:00","08/27/08 00:00:00",,,
394,254,"07/12/08 00:00:00","08/27/08 00:00:00",,,
395,254,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
398,255,"07/12/08 00:00:00","08/27/08 00:00:00",,,
399,255,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
402,256,"07/12/08 00:00:00","08/27/08 00:00:00",,,
403,256,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
406,257,"07/12/08 00:00:00","08/27/08 00:00:00",,,
407,257,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
410,258,"07/12/08 00:00:00","08/27/08 00:00:00",,,
411,258,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
413,259,"07/12/08 00:00:00","08/27/08 00:00:00",,,
417,261,"07/12/08 00:00:00","08/27/08 00:00:00",,,
418,261,"07/13/07 00:00:00","08/24/07 00:00:00",,,
420,262,"07/12/08 00:00:00","08/27/08 00:00:00",,,
421,262,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
423,263,"07/12/08 00:00:00","08/27/08 00:00:00",,,
