"ProdKey","CowKey","testDate","LTDDate","HTFatPC","HTProtPC","HTLitreAM","HTLitrePM","HTLitreTot","LtdLitre","LtdFatKg","LtdProtKg","SCC","LW","LWRel","PayPW","PayPWRel","AbCode","Assessed","Withheld","comment","LtdDays","LtdVol305","LtdVolEx","LtdFatKg305","LtdFatKgEx","LtdProtKg305","LtdProtKgEx"
996,416,"2/02/1999","17/02/1999",0.0467,0.0349,10.6,9.8,20.4,4143.2,178.55,145.67,117,,,90.8,77.5,0,"0","","",175,,,,,,
997,418,"2/02/1999","17/02/1999",0.0418,0.0327,11.6,7,18.6,4903.8,191.64,156.08,563,134.5,,70.4,75.9,0,"0","","",201,,,,,,
998,419,"2/02/1999","17/02/1999",0.0416,0.0358,8,4.9,12.9,3271,135.73,122.98,71,36.6,,73.8,62.5,0,"0","","",196,,,,,,
999,422,"2/02/1999","17/02/1999",0.051,0.0346,10,5,15,3529,181.71,121.88,26,49,,45.7,63.4,0,"0","","",197,,,,,,
1000,423,"2/02/1999","17/02/1999",0.0472,0.0342,10.7,6.8,17.5,3719.7,173.01,135.21,85,,,113,77.3,0,"0","","",179,,,,,,
1001,424,"2/02/1999","17/02/1999",0.0461,0.0312,9.5,3.4,12.9,4282.3,170.07,139.25,59,,,70.1,75.8,0,"0","","",175,,,,,,
1002,425,"2/02/1999","17/02/1999",0.0531,0.0356,11.5,7.1,18.6,4847.6,235.53,163.81,94,149.1,,105.9,76.1,0,"0","","",193,,,,,,
1003,426,"2/02/1999","17/02/1999",0.0482,0.0339,12.3,6.3,18.6,4348.2,205.66,150.39,40,,,49.6,75.8,0,"0","","",181,,,,,,
1004,427,"2/02/1999","17/02/1999",0.0515,0.0383,8.5,4.6,13.1,3200.2,157.58,126.7,54,-14.3,,66.6,74.6,0,"0","","",198,,,,,,
1005,428,"2/02/1999","17/02/1999",0.0576,0.0379,9,6.2,15.2,4299.7,219.6,155.54,62,170.7,,96.6,69.6,0,"0","","",198,,,,,,
1006,429,"2/02/1999","17/02/1999",0.0423,0.0326,11.3,6.3,17.6,4059.3,166.77,134.59,202,,,25.9,67.5,0,"0","","",180,,,,,,
1007,431,"2/02/1999","17/02/1999",0.0598,0.0385,7.8,4.7,12.5,3673.5,185.86,134.78,25,125.7,,98.1,63.8,0,"0","","",197,,,,,,
1008,432,"2/02/1999","17/02/1999",0.0531,0.0349,9.9,7.6,17.5,4095.7,208.62,144.98,20,101.1,,76.8,76.5,0,"0","","",189,,,,,,
1009,433,"2/02/1999","17/02/1999",0.0405,0.0309,9.5,6.8,16.3,4722.1,168.91,144.89,459,-70.8,,-29,75.6,0,"0","","",202,,,,,,
1010,434,"2/02/1999","17/02/1999",0.0466,0.0369,7.9,4.6,12.5,2983.5,136.21,110.5,200,,,54.5,77.4,0,"0","","",167,,,,,,
1011,435,"2/02/1999","17/02/1999",0.0433,0.0321,15,8.8,23.8,4791.8,195.34,155.71,11,,,112.9,67.3,0,"0","","",175,,,,,,
1012,436,"2/02/1999","17/02/1999",0.0353,0.0302,12.6,7.3,19.9,4937.5,176.78,153.36,57,49.7,,32.2,76.5,0,"0","","",196,,,,,,
1013,62,"2/02/1999","17/02/1999",0.0425,0.0336,9.1,3.4,12.5,2382.7,104.88,77.55,25,-64.8,,7.6,52,0,"0","","",183,,,,,,
1014,440,"2/02/1999","17/02/1999",0.0348,0.0274,14.3,9.1,23.4,5701,170.81,166.05,15,1.6,,18.7,73.5,0,"0","","",189,,,,,,
1015,441,"2/02/1999","17/02/1999",0.0436,0.0291,10.5,6.1,16.6,4250.2,174.88,124.57,26,48.4,,90.1,77.7,0,"0","","",197,,,,,,
1016,443,"2/02/1999","17/02/1999",0.047,0.0359,8.5,3.4,11.9,3387.3,140.67,121.25,31,18.2,,33.2,56,0,"0","","",197,,,,,,
1017,444,"2/02/1999","17/02/1999",0.0519,0.0347,8,5.2,13.2,3146.4,166.54,117.33,62,67.5,,56,64,0,"0","","",197,,,,,,
1018,677,"2/02/1999","17/02/1999",0.0458,0.0308,10.9,6.2,17.1,3598.3,159.36,118.23,329,-79,,-24.1,82.1,0,"0","","",169,,,,,,
1019,51,"2/02/1999","17/02/1999",0.0433,0.0307,11.5,3.3,14.8,4004.1,174.53,126.75,76,146.7,,94.2,52,0,"0","","",196,,,,,,
1020,450,"2/02/1999","17/02/1999",0.0531,0.0354,10.5,6.7,17.2,3569.9,174.72,121.54,129,,,55.2,61.4,0,"0","","",172,,,,,,
1021,451,"2/02/1999","17/02/1999",0.0465,0.0318,12.2,7.3,19.5,4181.5,212.6,130.46,16,,,43.5,72.5,0,"0","","",178,,,,,,
1022,452,"2/02/1999","17/02/1999",0.0484,0.0333,10.8,8.3,19.1,4207.8,203.74,138.26,45,,,73.2,74.8,0,"0","","",168,,,,,,
1023,453,"2/02/1999","17/02/1999",0.0481,0.0355,10.2,6.8,17,4602,222.08,154.9,571,92.3,,38,78,0,"0","","",196,,,,,,
1024,455,"2/02/1999","17/02/1999",0.055,0.0393,7.5,3.9,11.4,2751.3,139.06,104.16,30,-5.8,,33.7,63.8,0,"0","","",198,,,,,,
1025,456,"2/02/1999","17/02/1999",0.0454,0.031,9.2,7.1,16.3,4248.2,180.52,127.91,187,-74.4,,-33.9,78,0,"0","","",196,,,,,,
1026,457,"2/02/1999","17/02/1999",0.0476,0.0336,11.6,7.6,19.2,4748.4,215.96,156.63,50,115.4,,72,71.3,0,"0","","",197,,,,,,
1027,458,"2/02/1999","17/02/1999",0.0451,0.0332,11.6,7.2,18.8,3920.8,171.79,125.94,23,,,33.8,77.4,0,"0","","",184,,,,,,
1028,459,"2/02/1999","17/02/1999",0.0474,0.0357,9.3,5.4,14.7,3187.4,143.45,113.18,133,60.7,,39,62.6,0,"0","","",200,,,,,,
1029,460,"2/02/1999","17/02/1999",0.0503,0.0322,9.2,5.7,14.9,3928.9,185.64,129.4,135,12.3,,-28.8,76.8,0,"0","","",195,,,,,,
1030,678,"2/02/1999","17/02/1999",0.0413,0.0298,8.3,5.7,14,3289,121.58,102.23,21,-133.9,,-27.6,75.7,0,"0","","",181,,,,,,
1031,463,"2/02/1999","17/02/1999",0.0443,0.0334,9.8,6.6,16.4,3560.4,159.93,117.97,15,38.6,,44.7,60.2,0,"0","","",186,,,,,,
1032,464,"2/02/1999","17/02/1999",0.0486,0.0377,10.1,6,16.1,4196.1,187.83,149.9,11,89.4,,79.8,73.6,0,"0","","",191,,,,,,
1033,466,"2/02/1999","17/02/1999",0.0293,0.0317,9.6,5.5,15.1,2666.7,94.39,89.41,527,-92.4,,-30.6,63.3,0,"0","","",143,,,,,,
1034,47,"2/02/1999","17/02/1999",0.0357,0.0298,8.9,3.7,12.6,3667.3,143.19,114.16,93,85.8,,73.8,52.3,0,"0","","",176,,,,,,
1035,469,"2/02/1999","17/02/1999",0.051,0.0344,9,5.9,14.9,3931.7,194.7,125.02,62,,,23.1,77.8,0,"0","","",184,,,,,,
1036,32,"2/02/1999","17/02/1999",0.0433,0.0327,8.1,3.2,11.3,3118.4,141.58,102.14,146,56.4,,68.1,51.1,0,"0","","",196,,,,,,
1037,471,"2/02/1999","17/02/1999",0.0529,0.0361,4.6,4.3,8.9,3050.5,138.53,102.3,29,-64.7,,-7,63.4,0,"0","","",195,,,,,,
1038,473,"2/02/1999","17/02/1999",0.0606,0.038,6.5,5.4,11.9,2903.3,148.02,111.1,70,,,20.7,60.9,0,"0","","",187,,,,,,
1039,475,"2/02/1999","17/02/1999",0.0483,0.0325,10.5,5.1,15.6,3781,167.24,120.91,29,15.2,,34.5,63.4,0,"0","","",203,,,,,,
1040,477,"2/02/1999","17/02/1999",0.0465,0.0315,10.2,7.1,17.3,3399.1,148.89,105.86,27,49.9,,45.5,63.2,0,"0","","",152,,,,,,
1041,72,"2/02/1999","17/02/1999",0.0439,0.0311,8.9,5.7,14.6,3521.2,158.22,109.34,311,90,,68.1,52.3,0,"0","","",192,,,,,,
1042,480,"2/02/1999","17/02/1999",0.0488,0.0325,11,6.7,17.7,3687.3,170.83,120.91,26,154.2,,85.5,63.3,0,"0","","",153,,,,,,
1043,481,"2/02/1999","17/02/1999",0.0572,0.0371,8.4,5.9,14.3,3653.5,179.68,127.92,39,95.1,,54.4,63.4,0,"0","","",191,,,,,,
1044,483,"2/02/1999","17/02/1999",0.0452,0.0329,8.6,3.3,11.9,3413.7,162.48,107.57,136,-118.7,,-33,76.4,0,"0","","",185,,,,,,
1045,486,"2/02/1999","17/02/1999",0.0463,0.0328,8.6,6.1,14.7,3692.5,177.34,124.88,25,,,18.4,71,0,"0","","",181,,,,,,
1046,487,"2/02/1999","17/02/1999",0.0462,0.0335,9.6,6.3,15.9,4018.1,165.03,135.5,70,80.3,,39.7,63.7,0,"0","","",191,,,,,,
1047,488,"2/02/1999","17/02/1999",0.0483,0.0366,5.5,5,10.5,2738,132.08,98.66,20,-49.8,,33.2,63.5,0,"0","","",182,,,,,,
1048,490,"2/02/1999","17/02/1999",0.0435,0.0333,9.9,8,17.9,4450.3,176.38,145.55,21,24.9,,35.6,77.9,0,"0","","",197,,,,,,
1049,491,"2/02/1999","17/02/1999",0.053,0.0358,9,5.9,14.9,3565.3,170.08,126.25,11,98.8,,56.5,63.8,0,"0","","",197,,,,,,
1050,494,"2/02/1999","17/02/1999",0.0548,0.034,8.3,5.9,14.2,3247.2,147.53,107.43,21,,,28.4,56.4,0,"0","","",185,,,,,,
1051,495,"2/02/1999","17/02/1999",0.0487,0.0307,9.3,4.9,14.2,3522.9,157.63,107.62,20,-16.2,,28.1,62.5,0,"0","","",182,,,,,,
1052,61,"2/02/1999","17/02/1999",0.0484,0.0354,7.1,4.3,11.4,2777.1,129.6,92.32,36,29.3,,45.3,51.2,0,"0","","",204,,,,,,
1053,497,"2/02/1999","17/02/1999",0.0434,0.0325,9.4,5.8,15.2,3744.4,162.04,123.09,41,49.2,,51.8,60.2,0,"0","","",181,,,,,,
1054,499,"2/02/1999","17/02/1999",0.0537,0.0347,9.8,6.1,15.9,3746.9,242.47,130.84,32,94.7,,19.3,75.7,0,"0","","",179,,,,,,
1055,500,"2/02/1999","17/02/1999",0.0517,0.033,9.7,7.4,17.1,4309.1,188.53,141.8,86,136.1,,93.3,63.6,0,"0","","",195,,,,,,
1056,501,"2/02/1999","17/02/1999",0.0391,0.0312,9.9,7.1,17,3584.4,132.18,118.6,139,7.3,,57.7,77.8,0,"0","","",163,,,,,,
1057,503,"2/02/1999","17/02/1999",0.045,0.0335,7.8,5.8,13.6,3673.2,143.45,120.06,20,-28.1,,7.6,63.6,0,"0","","",201,,,,,,
1058,504,"2/02/1999","17/02/1999",0.0562,0.0376,8.1,5.5,13.6,3412.6,175.88,125.48,169,101.2,,49.8,63.8,0,"0","","",198,,,,,,
1059,506,"2/02/1999","17/02/1999",0.0453,0.0346,8.2,4.9,13.1,3175.7,146.63,115.6,2071,-5.5,,-8.5,77.6,0,"0","","",197,,,,,,
1060,17,"2/02/1999","17/02/1999",0.0503,0.0369,6.6,5.2,11.8,2578.6,128.81,91.37,51,14.7,,29.1,52.2,0,"0","","",199,,,,,,
1061,509,"2/02/1999","17/02/1999",0.059,0.0383,9.2,6.8,16,3693.6,191.03,139.13,123,,,160.4,60.2,0,"0","","",185,,,,,,
1062,629,"2/02/1999","17/02/1999",0.0519,0.0334,10.1,5,15.1,4021.2,203.91,129.22,23,75.7,,78.2,75.6,0,"0","","",190,,,,,,
1063,512,"2/02/1999","17/02/1999",0.0448,0.0367,7.3,6.8,14.1,3354.6,177.17,119.19,73,,,2.1,74.5,0,"0","","",166,,,,,,
1064,513,"2/02/1999","17/02/1999",0.0388,0.0315,10.2,6.2,16.4,3699.8,136.31,113.31,419,-61.6,,24.1,63.6,0,"0","","",197,,,,,,
1065,514,"2/02/1999","17/02/1999",0.0517,0.0386,10.5,5.9,16.4,3876.8,194.79,146.42,82,,,46.6,75.2,0,"0","","",184,,,,,,
1066,515,"2/02/1999","17/02/1999",0.0457,0.0369,10.4,4.1,14.5,4353,189.04,157.36,21,64.5,,71.5,75.8,0,"0","","",198,,,,,,
1067,517,"2/02/1999","17/02/1999",0.0557,0.0361,9.4,5.9,15.3,3984.5,207.02,142.46,315,186.3,,125.1,63.9,0,"0","","",200,,,,,,
1068,518,"2/02/1999","17/02/1999",0.0469,0.0326,9.4,6.7,16.1,3272.1,149.67,108.14,24,,,38.6,61.6,0,"0","","",160,,,,,,
1069,519,"2/02/1999","17/02/1999",0.0503,0.0333,10.8,7.3,18.1,4261.5,181.7,146.19,101,,,44.6,75.7,0,"0","","",176,,,,,,
1070,521,"2/02/1999","17/02/1999",0.0458,0.0344,9.7,5.6,15.3,4066.9,180.51,135.49,14,110.7,,68.2,63.1,0,"0","","",198,,,,,,
1071,522,"2/02/1999","17/02/1999",0.0491,0.0336,11.2,6.4,17.6,4772.2,211.97,155.34,33,48.9,,7.1,76.4,0,"0","","",195,,,,,,
1072,523,"2/02/1999","17/02/1999",0.042,0.0312,9.7,7.2,16.9,4039.9,151.34,136.35,23,45.4,,51.5,63.5,0,"0","","",203,,,,,,
1073,40,"2/02/1999","17/02/1999",0.0361,0.0318,8.9,5.8,14.7,4043.1,133.7,123.35,26,101,,66.5,47.1,0,"0","","",194,,,,,,
1074,525,"2/02/1999","17/02/1999",0.044,0.0343,9.9,3.3,13.2,3709.8,154.38,122.99,15,42.9,,72.2,60.7,0,"0","","",191,,,,,,
1075,526,"2/02/1999","17/02/1999",0.0562,0.034,8.9,6.4,15.3,3255.1,160.33,110.18,64,21,,24.8,63.7,0,"0","","",182,,,,,,
1076,527,"2/02/1999","17/02/1999",0.0419,0.033,6.5,3,9.5,2399.1,89.56,80.1,25,-158.8,,-37,62.9,0,"0","","",143,,,,,,
1077,529,"2/02/1999","17/02/1999",0.0451,0.0332,10.1,7.1,17.2,3118.8,123.55,107.82,11,21.7,,28.8,63.5,0,"0","","",156,,,,,,
1078,530,"2/02/1999","17/02/1999",0.0401,0.0283,12.4,7,19.4,4418.9,172.52,123.94,19,-39.8,,-14.6,63.6,0,"0","","",198,,,,,,
1079,531,"2/02/1999","17/02/1999",0.0454,0.0332,10.2,5.9,16.1,3857.7,157.9,131.03,14,60.2,,25.4,63.8,0,"0","","",197,,,,,,
1080,532,"2/02/1999","17/02/1999",0.0486,0.0311,3.3,6.4,9.7,3138.7,128.71,106.64,284,-128.9,,-50.1,63.4,0,"0","","",204,,,,,,
1081,533,"2/02/1999","17/02/1999",0.0486,0.0304,9.3,4.9,14.2,3288.2,159.6,109.23,27,47,,39,62.4,0,"0","","",163,,,,,,
1082,30,"2/02/1999","17/02/1999",0.0441,0.0342,7.4,6.1,13.5,2847.1,124.71,101.92,18,65.8,,50.8,50.5,0,"0","","",215,,,,,,
1083,52,"2/02/1999","17/02/1999",0.0416,0.0313,6.7,4.6,11.3,3115.1,128.79,97.81,18,19.7,,48.8,51.4,0,"0","","",192,,,,,,
1084,18,"2/02/1999","17/02/1999",0.0473,0.0348,5.2,4,9.2,2386.4,105.72,81.69,23,-62.9,,-8.2,51.9,0,"0","","",197,,,,,,
1085,60,"2/02/1999","17/02/1999",0.0467,0.0306,8.9,4.9,13.8,3580.8,136.25,109.23,16,58.2,,44.7,52.3,0,"0","","",194,,,,,,
1086,66,"2/02/1999","17/02/1999",0.0365,0.0301,9.7,6.3,16,3520.6,130.08,110.33,23,36.1,,27.2,52.1,0,"0","","",193,,,,,,
1087,630,"2/02/1999","17/02/1999",0.0479,0.0291,7,7.9,14.9,2915,132.4,92.67,32,-64.8,,17.1,78.4,0,"0","","",148,,,,,,
1088,631,"2/02/1999","17/02/1999",0.0412,0.0272,9.7,8.2,17.9,4040.5,155.22,112.21,16,-116.9,,18.6,82,0,"0","","",181,,,,,,
1089,632,"2/02/1999","17/02/1999",0.0545,0.0336,8.9,5.6,14.5,3537.6,174.22,123.33,157,-49.2,,-8,82.1,0,"0","","",194,,,,,,
1090,633,"2/02/1999","17/02/1999",0.0528,0.0328,9.8,7.5,17.3,3951.5,178.51,130.35,8,18.8,,11.4,71.9,0,"0","","",185,,,,,,
1091,634,"2/02/1999","17/02/1999",0.047,0.033,9.2,5.2,14.4,4630,192.66,154.68,35,78.8,,61.5,75.5,0,"0","","",200,,,,,,
1092,635,"2/02/1999","17/02/1999",0.0346,0.0315,9.3,7.4,16.7,3357.9,117.18,111.01,73,-85.5,,15.2,75.6,0,"0","","",165,,,,,,
1093,636,"2/02/1999","17/02/1999",0.0469,0.0371,7.9,6.1,14,3794,175.06,136.54,7,91.6,,84.7,75.7,0,"0","","",187,,,,,,
1094,637,"2/02/1999","17/02/1999",0.0476,0.0326,9.9,6.3,16.2,4318.8,187.31,138.75,6,-21,,-1.6,82.1,0,"0","","",193,,,,,,
1095,638,"2/02/1999","17/02/1999",0.0501,0.0341,9.2,6.1,15.3,3682.1,164.6,126.48,68,26.8,,65.7,75.7,0,"0","","",189,,,,,,
1096,639,"2/02/1999","17/02/1999",0.0474,0.0313,10.8,7,17.8,3831.8,172.55,127.88,34,66.4,,39.4,74.8,0,"0","","",159,,,,,,
1097,640,"2/02/1999","17/02/1999",0.0495,0.0336,10.3,6.3,16.6,2976,141.02,105.88,2039,5.8,,19.5,79.2,0,"0","","",159,,,,,,
1098,641,"2/02/1999","17/02/1999",0.0562,0.0363,8.2,6.3,14.5,3046.9,154.11,112.82,1039,8.8,,54.5,75,0,"0","","",190,,,,,,
1099,642,"2/02/1999","17/02/1999",0.0446,0.034,9.4,4.8,14.2,3768.4,144.09,125.74,33,-46.3,,5.6,75.1,0,"0","","",196,,,,,,
1100,643,"2/02/1999","17/02/1999",0.0455,0.0312,10.6,6.4,17,3737.8,167.23,124.55,14,39.5,,81.8,75.5,0,"0","","",163,,,,,,
1101,644,"2/02/1999","17/02/1999",0.0513,0.0338,7,7.1,14.1,3941.2,178.79,137.8,100,31.8,,35.3,75.1,0,"0","","",192,,,,,,
1102,645,"2/02/1999","17/02/1999",0.0513,0.0347,9.1,7.2,16.3,3617.1,180.05,128.99,44,78.2,,70.7,79.3,0,"0","","",169,,,,,,
1103,646,"2/02/1999","17/02/1999",0.0374,0.0292,11.1,9,20.1,5993.1,234.86,175.02,19,82.2,,35.5,82.1,0,"0","","",195,,,,,,
1104,647,"2/02/1999","17/02/1999",0.031,0.0283,12.5,8.4,20.9,4560.9,160.35,136.38,15,10.9,,47.2,75.4,0,"0","","",168,,,,,,
1105,648,"2/02/1999","17/02/1999",0.0494,0.034,7.9,6,13.9,3297,145.34,105.09,29,68,,77.3,75.5,0,"0","","",156,,,,,,
1106,649,"2/02/1999","17/02/1999",0.0368,0.0309,12.8,8.6,21.4,4593.4,193.02,145.43,8,4.9,,8.1,78.7,0,"0","","",194,,,,,,
1107,650,"2/02/1999","17/02/1999",0.0452,0.0315,9.9,5.4,15.3,3877.7,178.56,124.41,10,-35.3,,13.8,79.6,0,"0","","",188,,,,,,
1108,651,"2/02/1999","17/02/1999",0.0476,0.0358,8,7.3,15.3,3444.4,156.27,124.28,12,-26,,40,81.8,0,"0","","",186,,,,,,
1109,652,"2/02/1999","17/02/1999",0.0436,0.0327,12.5,6.7,19.2,4379.8,184.54,156.49,212,168.8,,98.2,75.2,0,"0","","",161,,,,,,
1110,653,"2/02/1999","17/02/1999",0.0386,0.0328,11.5,10.8,22.3,4918.1,174.38,164.35,55,62.3,,51.7,75.5,0,"0","","",189,,,,,,
1111,654,"2/02/1999","17/02/1999",0.0642,0.0385,9.3,7.5,16.8,3882.5,253.64,151.05,21,229.6,,134,79.4,0,"0","","",186,,,,,,
1112,655,"2/02/1999","17/02/1999",0.039,0.0313,11.6,7.7,19.3,5337.6,184.61,161.58,36,22.3,,23,78.9,0,"0","","",194,,,,,,
1113,656,"2/02/1999","17/02/1999",0.054,0.0335,9.9,6.3,16.2,4099.2,196.23,138.06,18,52.2,,47.9,79.2,0,"0","","",193,,,,,,
1114,657,"2/02/1999","17/02/1999",0.046,0.034,11.5,7.3,18.8,3289.2,150.19,114.49,16,18,,46.1,75.3,0,"0","","",156,,,,,,
1115,658,"2/02/1999","17/02/1999",0.0539,0.0343,9.1,5,14.1,3519.3,173.12,120.61,24,51.7,,79.4,75.7,0,"0","","",178,,,,,,
1116,659,"2/02/1999","17/02/1999",0.0464,0.0337,9.2,4.9,14.1,2697.9,152.67,91.97,52,-26.8,,40.5,75.3,0,"0","","",163,,,,,,
1117,660,"2/02/1999","17/02/1999",0.0384,0.0301,12.5,7.2,19.7,5035.3,177.74,155.79,23,44,,32.3,74.5,0,"0","","",189,,,,,,
1118,661,"2/02/1999","17/02/1999",0.048,0.0317,8.3,6.5,14.8,3372.1,164.43,111.54,16,-21.4,,6.1,75.9,0,"0","","",182,,,,,,
1119,662,"2/02/1999","17/02/1999",0.0477,0.0332,9.4,5.5,14.9,3995.5,183.18,131.09,23,-9.7,,47.2,79.3,0,"0","","",186,,,,,,
1120,663,"2/02/1999","17/02/1999",0.0398,0.0326,10.6,4.8,15.4,4349.8,179.39,138.94,13,89.1,,80.3,69.5,0,"0","","",179,,,,,,
1121,664,"2/02/1999","17/02/1999",0.0506,0.0326,10.3,7.6,17.9,4690.8,200.79,160.8,21,161.5,,108,70.3,0,"0","","",184,,,,,,
1122,214,"2/02/1999","17/02/1999",0.0495,0.036,7.5,4.9,12.4,2689.2,127.99,95.69,450,-101.5,,-10.7,77.2,0,"0","","",163,,,,,,
1123,215,"2/02/1999","17/02/1999",0.0362,0.0299,13.3,7.5,20.8,4597.6,165.66,143.12,65,35.9,,-12.6,69.4,0,"0","","",163,,,,,,
1124,234,"2/02/1999","17/02/1999",0.043,0.0338,8.5,6.3,14.8,3070.8,125.58,107.35,208,-22.8,,15.2,69.2,0,"0","","",153,,,,,,
1125,350,"2/02/1999","17/02/1999",0.0465,0.0312,10.2,7,17.2,3429.2,167.33,115.2,168,69.6,,71.2,77.3,0,"0","","",163,,,,,,
1126,524,"2/02/1999","17/02/1999",0.0412,0.0323,7.1,5.8,12.9,4079.7,182.78,133.12,92,21.5,,-21.6,75.4,0,"0","","",163,,,,,,
1127,49,"14/04/1999","29/04/1999",0.0611,0.0439,5.6,3.9,9.5,3580.1,181.74,126.37,194,86.6,,60,46.6,0,"0","","",257,,,,,,
1128,196,"14/04/1999","29/04/1999",0.0566,0.0385,7,4.7,11.7,4525.1,203.56,147.78,52,89.2,,63.3,60.5,0,"0","","",220,,,,,,
1129,57,"14/04/1999","29/04/1999",0.0528,0.0377,6.2,4.2,10.4,4058,183.95,130.53,42,85.7,,65.3,45.4,0,"0","","",230,,,,,,
1130,204,"14/04/1999","29/04/1999",0.0589,0.0457,5.1,3,8.1,4473,228.81,160.14,129,123.4,,78.3,77.2,0,"0","","",267,,,,,,
1131,205,"14/04/1999","29/04/1999",0.0574,0.0394,6.4,5.2,11.6,5753.7,273.48,187.11,81,89.5,,58.1,78.5,0,"0","","",262,,,,,,
1132,207,"14/04/1999","29/04/1999",0.0589,0.0448,6.5,4.7,11.2,4831.1,182.68,160.91,50,39.2,,43.5,60.7,0,"0","","",246,,,,,,
1133,208,"14/04/1999","29/04/1999",0.0591,0.0409,5.3,5,10.3,5522.5,252.2,173.57,49,67.2,,31.6,67.2,0,"0","","",264,,,,,,
1134,209,"14/04/1999","29/04/1999",0.0662,0.0505,6.7,4.2,10.9,5103.1,239.23,187.36,341,91.7,,60.6,78.3,0,"0","","",256,,,,,,
1135,211,"14/04/1999","29/04/1999",0.0616,0.0423,5.5,4,9.5,4979.8,250.32,171.69,199,15.2,,5.2,76.8,0,"0","","",273,,,,,,
1136,212,"14/04/1999","29/04/1999",0.0749,0.0454,3.5,2.9,6.4,4386.5,220.83,149.7,180,49.3,,4.4,77.4,0,"0","","",273,,,,,,
1137,41,"14/04/1999","29/04/1999",0.0428,0.0334,8.1,6,14.1,5318.3,208.49,167.21,109,194.7,,115.9,45.5,0,"0","","",260,,,,,,
1138,216,"14/04/1999","29/04/1999",0.0545,0.0376,5.6,5.8,11.4,5172.5,234.85,170.75,55,0.2,,6.1,73.6,0,"0","","",258,,,,,,
1139,218,"14/04/1999","29/04/1999",0.0704,0.0431,7,7.6,14.6,5600.8,280.97,192.47,88,285.8,,139.1,69.1,0,"0","","",225,,,,,,
1140,220,"14/04/1999","29/04/1999",0.0554,0.0373,8.1,5.3,13.4,4628.2,212.69,144.86,59,82.6,,61.4,61.9,0,"0","","",226,,,,,,
1141,221,"14/04/1999","29/04/1999",0.0596,0.0414,9,6.2,15.2,4919.1,234.71,174.63,69,230.1,,120.1,62.5,0,"0","","",228,,,,,,
1142,231,"14/04/1999","29/04/1999",0.0561,0.0391,7.1,5.7,12.8,4151,186.16,143.13,32,72.6,,17.7,62.8,0,"0","","",209,,,,,,
1143,627,"14/04/1999","29/04/1999",0.0507,0.0372,7,5,12,6381.5,277.57,197.34,29,82.6,,30.6,79.3,0,"0","","",261,,,,,,
1144,233,"14/04/1999","29/04/1999",0.0644,0.0409,7.8,4.5,12.3,5030.2,245.53,176.02,79,136.8,,97.9,69.7,0,"0","","",258,,,,,,
1145,53,"14/04/1999","29/04/1999",0.0587,0.0382,6.8,4.1,10.9,3923.2,181.41,131.22,71,104,,60.8,48.7,0,"0","","",222,,,,,,
1146,237,"14/04/1999","29/04/1999",0.0607,0.0457,6.9,5.2,12.1,4987.1,242.78,180.71,46,98.3,,98.7,76.4,0,"0","","",257,,,,,,
1147,240,"14/04/1999","29/04/1999",0.0639,0.046,6.3,4.8,11.1,4473.8,200.2,155.96,22,49,,75.1,63.4,0,"0","","",257,,,,,,
1148,241,"14/04/1999","29/04/1999",0.0624,0.0433,5.3,4.4,9.7,4306.9,196.9,143.71,179,112.1,,26.6,62.5,0,"0","","",258,,,,,,
1149,56,"14/04/1999","29/04/1999",0.0578,0.041,6.7,4.9,11.6,4110.5,204.87,143.42,49,166.2,,91.1,45.8,0,"0","","",267,,,,,,
1150,244,"14/04/1999","29/04/1999",0.0687,0.0538,4.9,0,4.9,4038.3,183,155.8,171,-25,,17.4,69.5,0,"0","","",253,,,,,,
1151,246,"14/04/1999","29/04/1999",0.055,0.0435,7.2,4.7,11.9,5073,214.13,178.09,21,146.6,,99.2,61.9,0,"0","","",269,,,,,,
1152,249,"14/04/1999","29/04/1999",0.053,0.0383,7.5,7,14.5,6242.2,237.83,206.97,54,81.9,,36.9,73.3,0,"0","","",265,,,,,,
1153,251,"14/04/1999","29/04/1999",0.0689,0.0453,5.7,3.7,9.4,5245.3,246.29,174.87,68,59.1,,24.7,74.2,0,"0","","",260,,,,,,
1154,252,"14/04/1999","29/04/1999",0.0625,0.0373,6.4,5.4,11.8,5572,250.87,172.31,176,37.1,,42.4,73.8,0,"0","","",252,,,,,,
1155,253,"14/04/1999","29/04/1999",0.0542,0.0334,7.9,6.4,14.3,6568.2,278.81,187.02,151,30.9,,11.4,76.4,0,"0","","",264,,,,,,
1156,43,"14/04/1999","29/04/1999",0.0495,0.0391,7.4,5.9,13.3,4836.1,209.79,164.05,18,221,,125.6,45.8,0,"0","","",269,,,,,,
1157,34,"14/04/1999","29/04/1999",0.0584,0.0378,4.9,3.6,8.5,3956.1,209.39,135.81,174,148.9,,80.7,46.4,0,"0","","",260,,,,,,
1158,258,"14/04/1999","29/04/1999",0.0486,0.035,6.7,6.2,12.9,5407.3,226.87,168.18,853,13.3,,13.2,76.5,0,"0","","",235,,,,,,
1159,260,"14/04/1999","29/04/1999",0.0612,0.042,7,4.8,11.8,5261.5,256.03,185.79,33,231.4,,130.8,60.8,0,"0","","",259,,,,,,
1160,261,"14/04/1999","29/04/1999",0.0667,0.0508,3.3,4,7.3,5057.5,248.08,191.49,305,94.6,,83.3,76.6,0,"0","","",263,,,,,,
