"ProdKey","CowKey","testDate","LTDDate","HTFatPC","HTProtPC","HTLitreAM","HTLitrePM","HTLitreTot","LtdLitre","LtdFatKg","LtdProtKg","SCC","LW","LWRel","PayPW","PayPWRel","AbCode","Assessed","Withheld","comment","LtdDays","LtdVol305","LtdVolEx","LtdFatKg305","LtdFatKgEx","LtdProtKg305","LtdProtKgEx"
869,236,"2/02/1999","17/02/1999",0.0451,0.0327,10.1,5.9,16,3000.9,137.01,105.86,10,-41.8,,15.8,77.3,0,"0","","",156,,,,,,
870,237,"2/02/1999","17/02/1999",0.0458,0.0353,8.8,6.8,15.6,4056.2,191.05,141.5,22,,,92.6,75.2,0,"0","","",186,,,,,,
871,240,"2/02/1999","17/02/1999",0.0446,0.0357,8.5,5.6,14.1,3624.1,151.49,119.85,26,9,,64.4,63.6,0,"0","","",186,,,,,,
872,241,"2/02/1999","17/02/1999",0.0477,0.0311,9.5,6.1,15.6,3497.2,151.07,112.55,27,,,23.6,60.6,0,"0","","",187,,,,,,
873,56,"2/02/1999","17/02/1999",0.0471,0.0343,10.3,7,17.3,3170,154.31,107.23,19,130.7,,82,47.2,0,"0","","",196,,,,,,
874,244,"2/02/1999","17/02/1999",0.0447,0.038,7,5.7,12.7,3530.4,154.36,132.6,42,,,25.6,68.3,0,"0","","",182,,,,,,
875,246,"2/02/1999","17/02/1999",0.0453,0.0351,9.1,5.3,14.4,4176.8,167.71,141.59,22,117.2,,91.6,62.4,0,"0","","",198,,,,,,
876,248,"2/02/1999","17/02/1999",0.0428,0.0327,11.7,7.3,19,3622.8,169.28,118.72,663,140.6,,96,61.1,0,"0","","",159,,,,,,
877,249,"2/02/1999","17/02/1999",0.0417,0.0329,12.6,8.6,21.2,5075.3,180.9,164.63,62,61,,31.3,72.9,0,"0","","",194,,,,,,
878,250,"2/02/1999","17/02/1999",0.0522,0.0329,9.5,5.5,15,3247,162.89,114.3,280,45.2,,61.1,76.1,0,"0","","",163,,,,,,
879,251,"2/02/1999","17/02/1999",0.0533,0.0348,9.8,6.7,16.5,4432.3,195.55,141.6,30,49,,19.6,73.7,0,"0","","",189,,,,,,
880,252,"2/02/1999","17/02/1999",0.0467,0.0308,11,8.1,19.1,4584.5,195.34,138.02,63,,,35.4,72.4,0,"0","","",181,,,,,,
881,253,"2/02/1999","17/02/1999",0.0421,0.0275,14.6,7.4,22,5395,220.68,150.5,45,8.1,,6.7,75.8,0,"0","","",193,,,,,,
882,43,"2/02/1999","17/02/1999",0.0435,0.0319,10.2,6.6,16.8,3820,161.56,126.81,16,186,,116.9,47.3,0,"0","","",198,,,,,,
883,34,"2/02/1999","17/02/1999",0.0518,0.0325,8.1,4.8,12.9,3262.3,170.62,110.99,133,152.5,,87.6,48.1,0,"0","","",189,,,,,,
884,256,"2/02/1999","17/02/1999",0.0392,0.0319,12.7,7,19.7,4324,164.24,138.88,17,,,48.8,67.5,0,"0","","",170,,,,,,
885,258,"2/02/1999","17/02/1999",0.0403,0.0299,11.8,8.5,20.3,4339.6,178.44,132.94,287,31.8,,13.8,76,0,"0","","",164,,,,,,
886,260,"2/02/1999","17/02/1999",0.0499,0.0347,11.6,8,19.6,4263.8,199.51,146.82,9,214.7,,126.6,61.1,0,"0","","",188,,,,,,
887,261,"2/02/1999","17/02/1999",0.0525,0.0392,9.3,7.8,17.1,4338.2,205.08,159.02,65,121.7,,85,76,0,"0","","",192,,,,,,
888,262,"2/02/1999","17/02/1999",0.0469,0.0338,15.4,8.6,24,4625.1,184.67,156.98,16,201.2,,100.8,71.6,0,"0","","",156,,,,,,
889,263,"2/02/1999","17/02/1999",0.0404,0.0329,11.4,7.1,18.5,3885.3,152.97,135.15,52,,,39.8,68.2,0,"0","","",169,,,,,,
890,54,"2/02/1999","17/02/1999",0.0424,0.0344,9.2,6.7,15.9,3717.3,170.68,126.11,163,174,,96,51.9,0,"0","","",205,,,,,,
891,265,"2/02/1999","17/02/1999",0.0435,0.034,10.1,6.4,16.5,4273.1,154.88,142.59,46,3.2,,58.6,76.3,0,"0","","",199,,,,,,
892,266,"2/02/1999","17/02/1999",0.0344,0.0293,12,9.6,21.6,5890.8,198.19,174.21,58,27,,38.6,76.2,0,"0","","",199,,,,,,
893,267,"2/02/1999","17/02/1999",0.0434,0.0302,11.6,6.9,18.5,4192.8,159.38,130.08,27,57.9,,23.7,73.2,0,"0","","",156,,,,,,
894,268,"2/02/1999","17/02/1999",0.0397,0.0279,10.9,4.3,15.2,3181.8,120.07,94.56,50,-81.5,,-54.4,77.4,0,"0","","",159,,,,,,
895,15,"2/02/1999","17/02/1999",0.0502,0.0313,8.3,5.1,13.4,3275.4,153.05,99.13,15,58.6,,53.9,51.6,0,"0","","",193,,,,,,
896,273,"2/02/1999","17/02/1999",0.0475,0.0312,10.6,6.8,17.4,3550.8,149.54,109.95,108,,,40.4,59.3,0,"0","","",167,,,,,,
897,275,"2/02/1999","17/02/1999",0.0518,0.0342,11,6.9,17.9,3748.9,184.68,128.23,42,,,62.6,67.8,0,"0","","",169,,,,,,
898,276,"2/02/1999","17/02/1999",0.0477,0.0352,9.1,6.2,15.3,4532.1,189.63,147.63,1212,95.3,,58.2,77.4,0,"0","","",192,,,,,,
899,277,"2/02/1999","17/02/1999",0.0503,0.0359,10.3,6.1,16.4,4275.6,212.71,156.95,122,145.8,,85.8,76.3,0,"0","","",198,,,,,,
900,279,"2/02/1999","17/02/1999",0.043,0.0314,11.3,7.1,18.4,4551.2,203.99,140.7,96,6.3,,-5.5,73,0,"0","","",195,,,,,,
901,63,"2/02/1999","17/02/1999",0.0366,0.0313,10,5.1,15.1,3645.9,132.06,116.94,38,66.6,,61.8,52.3,0,"0","","",184,,,,,,
902,44,"2/02/1999","17/02/1999",0.0406,0.0322,9.4,6.9,16.3,4111.7,168,132.52,18,183.4,,108.4,52.3,0,"0","","",201,,,,,,
903,283,"2/02/1999","17/02/1999",0.0498,0.0336,13.4,8.7,22.1,3912.9,184.95,138.56,47,193.9,,129.4,69.2,0,"0","","",163,,,,,,
904,284,"2/02/1999","17/02/1999",0.0526,0.0334,8.3,6.5,14.8,3556.8,182.66,113.87,116,,,-31.6,70.1,0,"0","","",183,,,,,,
905,285,"2/02/1999","17/02/1999",0.0528,0.0371,7.9,5.5,13.4,2816.2,143.8,101.95,709,8,,54.6,77.7,0,"0","","",163,,,,,,
