vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
174,546,2016-06-24,,Yes,,,
175,547,2016-05-24,,-,,,
176,548,2016-06-24,,-,,,
177,549,2016-06-24,,-,,,
178,550,2016-06-24,,-,,,
179,553,2016-06-24,,-,,,
180,555,2016-06-24,,Yes,,,
181,561,2016-06-24,,Yes,,,
182,562,2016-06-24,,Yes,,,
183,563,2016-06-24,,-,,,
184,567,2016-06-24,,Yes,,,
185,568,2016-06-24,,Yes,,,
186,570,2016-06-24,,Yes,,,
187,571,2016-06-24,,Yes,,,
188,573,2016-06-24,,-,,,
189,577,2016-06-24,,-,,,
190,581,2016-06-24,,Yes,,,
191,582,2016-06-24,,-,,,
192,583,2016-06-24,,Yes,,,
193,585,2016-06-24,,-,,,
194,586,2016-06-24,,Yes,,,
195,589,2016-06-24,,Yes,,,
196,594,2016-06-24,,-,,,
197,595,2016-06-24,,Yes,,,
198,596,2016-05-24,,-,,,
199,598,2016-06-24,,-,,,
200,601,2016-06-24,,Yes,,,
201,604,2016-06-24,,Yes,,,
202,605,2016-06-24,,Yes,,,
203,611,2016-06-24,,Yes,,,
204,614,2016-05-24,,-,,,
205,615,2016-06-24,,-,,,
206,628,2016-06-24,,Yes,,,
207,632,2016-06-24,,-,,,
208,636,2016-06-24,,-,,,
209,643,2016-06-24,,Yes,,,
210,644,2016-06-24,,Yes,,,
211,646,2016-06-24,,Yes,,,
212,647,2016-06-24,,Yes,,,
213,649,2016-06-24,,Yes,,,
214,653,2016-05-24,,-,,,
215,658,2016-05-24,,-,,,
216,659,2016-06-24,,Yes,,,
217,662,2016-05-24,,-,,,
218,663,2016-06-24,,Yes,,,
219,666,2016-06-24,,Yes,,,
220,668,2016-06-24,,Yes,,,
221,671,2016-06-24,,Yes,,,
222,677,2016-06-24,,-,,,
223,686,2016-06-24,,Yes,,,
224,688,2016-06-24,,Yes,,,
225,690,2016-05-24,,-,,,
226,691,2016-06-24,,Yes,,,
227,698,2016-06-24,,Yes,,,
228,701,2016-06-24,,Yes,,,
229,704,2016-06-24,,Yes,,,
230,708,2016-06-24,,Yes,,,
231,709,2016-06-24,,Yes,,,
232,710,2016-06-24,,Yes,,,
233,711,2016-05-24,,-,,,
234,713,2016-06-24,,-,,,
235,718,2016-06-24,,Yes,,,
236,720,2016-06-24,,Yes,,,
237,726,2016-06-24,,-,,,
238,727,2016-05-24,,-,,,
239,731,2016-06-24,,Yes,,,
240,732,2016-06-24,,-,,,
241,735,2016-06-24,,Yes,,,
242,742,2016-06-24,,Yes,,,
243,748,2016-06-24,,Yes,,,
244,750,2016-06-24,,-,,,
245,754,2016-06-24,,Yes,,,
246,756,2016-06-24,,Yes,,,
247,761,2016-05-24,,-,,,
248,762,2016-05-24,,-,,,
249,765,2016-06-24,,Yes,,,
250,766,2016-06-24,,Yes,,,
251,769,2016-06-24,,Yes,,,
252,771,2016-06-24,,-,,,
253,774,2016-06-24,,Yes,,,
254,777,2016-06-24,,Yes,,,
255,778,2016-06-24,,-,,,
256,779,2016-06-24,,Yes,,,
257,781,2016-06-24,,-,,,
258,794,2016-06-24,,Yes,,,
259,795,2016-06-24,,Yes,,,
260,799,2016-06-24,,Yes,,,
261,802,2016-06-24,,Yes,,,
262,803,2016-06-24,,Yes,,,
263,805,2016-05-24,,-,,,
264,806,2016-06-24,,-,,,
265,811,2016-06-24,,Yes,,,
266,812,2016-06-24,,-,,,
267,813,2016-06-24,,Yes,,,
268,814,2016-06-24,,Yes,,,
269,815,2016-05-24,,-,,,
270,817,2016-05-24,,-,,,
271,818,2016-06-24,,-,,,
272,820,2016-05-24,,-,,,
273,821,2016-06-24,,Yes,,,
