doKey,CowKey,doDate,comment,reason
245,750, 10/05/13,,
246,751, 12/01/16,,
247,752, 18/11/12,,
248,754, 31/03/12,,
249,756, 21/04/15,,
250,757, 16/05/13,,
251,761, 29/06/15,,
252,765, 17/09/15,,
253,767, 20/03/12,,
254,772, 29/06/15,,
255,772, 05/06/15,,
256,773, 14/07/15,,
257,777, 06/12/12,,
258,778, 10/05/13,,
259,781, 14/07/15,,
260,782, 12/08/14,,
261,784, 04/04/16,,
262,799, 10/05/13,,
263,801, 13/07/15,,
264,806, 13/07/15,,
265,807, 24/09/14,,
266,814, 07/11/12,,
267,817, 29/06/15,,
268,821, 20/03/14,,
269,825, 05/07/15,,
270,849, 17/09/15,,
271,854, 14/07/15,,
272,859, 10/05/13,,
273,860, 03/12/14,,
274,861, 13/07/15,,
275,867, 17/09/15,,
276,874, 05/07/15,,
277,876, 03/02/15,,
278,900, 13/07/15,,
279,908, 20/08/15,,
280,911, 13/07/15,,
281,913, 12/08/14,,
282,915, 10/05/13,,
283,919, 24/09/14,,
284,923, 17/09/15,,
285,929, 13/02/13,,
286,930, 04/04/16,,
287,932, 10/05/13,,
288,933, 25/12/15,,
289,933, 14/07/15,,
290,938, 10/05/13,,
291,939, 31/08/15,,
292,944, 12/08/14,,
293,950, 20/12/12,,
294,952, 23/08/12,,
295,953, 26/07/16,,
296,953, 29/06/15,,
297,956, 22/03/16,,
298,958, 17/09/15,,
299,959, 29/06/15,,
300,960, 15/11/12,,
301,966, 21/04/15,,
302,967, 20/04/15,,
303,968, 29/09/15,,
304,970, 23/05/13,,
305,975, 13/07/15,,
306,976, 29/06/15,,
307,983, 26/07/16,,
308,983, 29/06/15,,
309,985, 13/07/15,,
310,986, 21/04/15,,
311,996, 25/04/13,,
312,997, 13/07/15,,
313,1000, 24/09/14,,
314,1010, 20/08/15,,
315,1011, 19/09/12,,
316,1014, 10/05/13,,
317,1015, 24/09/14,,
318,1020, 26/07/16,,
319,1020, 12/01/16,,
320,1022, 17/09/15,,
321,1024, 05/07/15,,
322,1027, 26/07/16,,
323,1027, 14/07/15,,
324,1028, 29/06/15,,
325,1029, 24/09/14,,
326,1033, 04/04/16,,
327,1039, 25/05/13,,
328,1042, 14/07/15,,
329,1047, 04/04/16,,
330,1049, 01/04/12,,
331,1051, 04/04/16,,
332,1055, 10/05/13,,
333,1059, 17/09/15,,
334,1064, 14/07/15,,
335,1067, 12/01/16,,
336,1068, 19/09/12,,
337,1070, 17/09/15,,
338,1071, 10/05/13,,
339,1073, 04/04/16,,
340,1076, 21/04/15,,
341,1081, 29/09/15,,
342,1086, 20/08/15,,
343,1095, 10/05/13,,
344,1097, 14/07/15,,
345,1098, 29/05/16,,
346,1098, 20/08/15,,
347,1102, 10/05/13,,
348,1106, 09/12/14,,
349,1107, 25/04/13,,
350,1108, 03/10/14,,
351,1111, 03/12/14,,
352,1113, 14/07/14,,
353,1116, 04/04/16,,
354,1120, 13/07/15,,
355,1122, 26/07/16,,
356,1122, 17/09/15,,
357,1125, 26/07/16,,
358,1125, 12/01/16,,
359,1126, 17/09/15,,
360,1127, 14/07/15,,
361,1135, 19/09/12,,
362,1137, 15/11/12,,
363,1140, 17/09/15,,
364,1141, 10/05/13,,
365,1142, 17/09/15,,
366,1143, 14/07/15,,
367,1145, 25/04/13,,
368,1146, 05/09/12,,
369,1150, 10/05/13,,
370,1151, 29/09/15,,
371,1151, 14/07/15,,
372,1154, 10/05/13,,
373,1155, 10/05/13,,
374,1157, 24/09/14,,
375,1160, 03/04/13,,
376,1161, 29/09/15,,
377,1161, 29/06/15,,
378,1162, 13/07/15,,
379,1165, 26/07/16,,
380,1165, 12/01/16,,
381,1168, 01/09/14,,
382,1169, 20/12/12,,
383,1170, 20/08/15,,
384,1182, 10/05/13,,
385,1184, 30/05/14,,
386,1184, 29/05/16,,
387,1187, 14/07/15,,
388,1189, 13/07/15,,
389,1190, 17/09/15,,
390,1191, 17/09/15,,
391,1198, 17/09/15,,
392,1210, 04/04/16,,
393,1211, 30/06/15,,
394,1212, 14/07/15,,
395,1214, 29/05/16,,
396,1214, 20/08/15,,
397,1217, 22/03/16,,
398,1219, 16/01/14,,
399,1223, 10/05/13,,
400,1225, 17/09/15,,
401,1227, 07/02/13,,
402,1230, 16/05/13,,
403,1232, 04/04/16,,
404,1233, 05/07/15,,
405,1235, 29/06/15,,
406,1238, 14/07/15,,
407,1241, 29/06/15,,
408,1244, 01/09/11,,
409,1248, 26/07/16,,
410,1248, 14/07/15,,
411,1251, 17/09/15,,
412,1257, 31/08/15,,
413,1258, 20/08/15,,
414,1260, 29/09/15,,
415,1261, 20/12/12,,
416,1265, 14/07/14,,
417,1266, 31/08/12,,
418,1267, 17/09/15,,
419,1269, 04/04/16,,
420,1274, 27/11/12,,
421,1281, 10/05/13,,
422,1283, 10/05/13,,
423,1286, 17/09/15,,
424,1287, 10/05/13,,
425,1294, 10/05/13,,
426,1295, 29/06/15,,
427,1296, 01/07/13,,
428,1299, 29/06/15,,
429,1302, 26/07/16,,
430,1302, 04/04/16,,
431,1304, 12/01/16,,
432,1306, 10/05/13,,
433,1308, 21/08/15,,
434,1312, 15/11/12,,
435,1315, 10/05/13,,
436,1318, 16/05/13,,
437,1325, 17/12/13,,
438,1332, 23/05/13,,
439,1333, 10/05/13,,
440,1335, 10/05/13,,
441,1338, 10/05/13,,
442,1339, 26/07/16,,
443,1339, 17/09/15,,
444,1341, 17/09/15,,
445,1342, 10/05/13,,
446,1346, 10/05/13,,
447,1353, 10/05/13,,
448,1358, 04/04/16,,
449,1359, 10/05/13,,
450,1360, 17/09/15,,
451,1361, 26/07/16,,
452,1361, 17/09/15,,
453,1362, 10/05/13,,
454,1368, 29/06/15,,
455,1369, 21/04/15,,
456,1370, 27/11/12,,
457,1372, 10/05/13,,
458,1377, 10/05/13,,
459,1378, 07/04/15,,
460,1379, 15/11/12,,
461,1380, 29/06/15,,
462,1385, 29/09/15,,
463,1386, 01/07/13,,
464,1387, 14/07/15,,
465,1388, 24/09/14,,
466,1398, 20/12/12,,
467,1399, 29/06/15,,
468,1402, 16/10/15,,
469,1402, 14/07/15,,
470,1412, 12/01/16,,
471,1414, 17/09/15,,
472,1417, 30/01/15,,
473,1418, 10/05/13,,
474,1422, 10/05/13,,
475,1426, 10/05/13,,
476,1427, 26/07/16,,
477,1427, 14/07/15,,
478,1433, 10/05/13,,
479,1437, 10/05/13,,
480,1439, 17/09/15,,
481,1440, 10/05/13,,
482,1441, 10/05/13,,
483,1447, 14/07/15,,
484,1450, 12/01/16,,
485,1451, 10/05/13,,
486,1458, 19/11/12,,
487,1462, 10/05/13,,
488,1466, 31/08/15,,
489,1467, 19/11/12,,
490,1469, 14/07/15,,
491,1470, 10/05/13,,
492,1474, 10/05/13,,
493,1477, 10/05/13,,
494,1478, 17/09/15,,
495,1481, 26/07/16,,
496,1481, 04/04/16,,
497,1483, 24/09/14,,
498,1485, 04/04/16,,
499,1486, 26/07/16,,
500,1486, 04/04/16,,
501,1496, 13/07/15,,
502,1498, 13/07/15,,
503,1500, 14/07/15,,
504,1503, 25/04/13,,
505,1504, 05/07/15,,
506,1505, 17/09/15,,
507,1506, 04/04/16,,
508,1507, 19/11/12,,
509,1509, 04/04/16,,
510,1510, 17/09/15,,
511,1514, 17/09/15,,
512,1518, 17/09/15,,
513,1520, 10/05/13,,
514,1534, 14/07/15,,
515,1535, 17/09/15,,
516,1538, 10/05/13,,
517,1546, 17/09/15,,
518,1564, 17/09/15,,
519,1570, 23/04/15,,
520,1577, 11/09/13,,
521,1587, 10/05/13,,
522,1589, 13/07/15,,
523,1591, 10/05/13,,
524,1593, 26/07/16,,
525,1593, 29/06/15,,
526,1599, 16/05/13,,
527,1600, 26/07/16,,
528,1600, 20/08/15,,
529,1602, 17/12/13,,
530,1605, 17/09/15,,
531,1607, 14/07/15,,
532,1615, 13/07/15,,
533,1616, 10/03/15,,
534,1617, 05/07/15,,
535,1618, 10/05/13,,
536,1621, 14/07/15,,
537,1622, 27/08/15,,
538,1626, 17/09/15,,
539,1631, 05/07/15,,
540,1634, 04/04/16,,
541,1638, 04/04/16,,
542,1643, 29/06/15,,
543,1644, 15/11/12,,
544,1649, 10/05/13,,
545,1651, 26/07/16,,
546,1651, 04/04/16,,
547,1663, 17/09/15,,
548,1666, 13/07/15,,
549,1667, 22/03/12,,
550,1669, 27/12/09,,
551,1671, 16/11/08,,
552,1672, 08/04/10,,
553,1674, 24/08/10,,
554,1676, 03/03/09,,
555,1677, 24/09/09,,
556,1678, 13/10/10,,
557,1680, 22/06/08,,
558,1681, 24/07/10,,
559,1683, 18/06/09,,
560,1685, 27/12/09,,
561,1686, 22/11/12,,
562,1689, 19/09/11,,
563,1691, 05/07/09,,
564,1694, 27/12/09,,
565,1699, 26/08/08,,
566,1700, 01/07/08,,
567,1701, 27/12/09,,
568,1702, 27/12/09,,
569,1703, 27/12/09,,
570,1704, 30/06/08,,
571,1705, 27/12/09,,
572,1706, 27/12/09,,
573,1708, 27/12/09,,
574,1709, 18/03/11,,
575,1713, 27/12/09,,
576,1714, 20/08/10,,
577,1715, 27/12/09,,
578,1717, 27/12/09,,
579,1718, 27/12/09,,
580,1721, 27/12/09,,
581,1722, 21/05/10,,
582,1726, 27/12/09,,
583,1728, 26/08/09,,
584,1729, 27/12/09,,
585,1730, 27/12/09,,
586,1732, 27/12/09,,
587,1734, 27/12/09,,
588,1735, 24/08/10,,
589,1736, 27/12/09,,
590,1738, 17/11/11,,
591,1739, 03/09/10,,
592,1740, 22/01/09,,
593,1743, 27/12/09,,
594,1744, 27/06/08,,
595,1745, 21/04/09,,
596,1746, 27/12/09,,
597,1747, 16/05/12,,
598,1750, 31/03/09,,
599,1751, 27/12/09,,
600,1752, 19/12/09,,
601,1753, 31/03/09,,
602,1756, 22/01/09,,
603,1757, 26/07/10,,
604,1760, 27/12/09,,
605,1761, 04/10/09,,
606,1762, 20/06/08,,
607,1765, 13/10/10,,
608,1766, 17/05/10,,
609,1769, 18/05/10,,
610,1770, 27/12/09,,
611,1773, 27/12/09,,
612,1774, 27/12/09,,
613,1775, 25/02/11,,
614,1776, 26/11/09,,
615,1777, 25/12/10,,
616,1778, 26/06/09,,
617,1779, 21/07/11,,
618,1780, 24/08/10,,
619,1782, 27/12/09,,
620,1783, 27/12/09,,
621,1786, 25/06/09,,
622,1787, 06/06/09,,
623,1789, 31/03/09,,
624,1791, 10/08/10,,
625,1793, 30/09/11,,
626,1795, 27/12/09,,
627,1796, 27/12/09,,
628,1797, 24/08/10,,
629,1798, 27/08/09,,
630,1799, 27/12/09,,
631,1800, 27/12/09,,
632,1801, 27/12/09,,
633,1802, 27/12/09,,
634,1803, 27/12/09,,
635,1805, 27/12/09,,
636,1806, 09/09/10,,
637,1807, 27/12/09,,
638,1808, 27/12/09,,
639,1812, 27/12/09,,
640,1817, 24/08/10,,
641,1818, 27/12/09,,
642,1819, 06/04/10,,
643,1820, 27/12/09,,
644,1821, 24/08/10,,
645,1822, 27/12/09,,
646,1823, 24/12/09,,
647,1824, 23/10/11,,
648,1826, 22/03/12,,
649,1827, 27/12/09,,
650,1830, 13/10/10,,
651,1832, 01/01/11,,
652,1833, 29/07/10,,
653,1834, 27/12/09,,
654,1836, 30/06/08,,
655,1837, 04/07/09,,
656,1840, 27/12/09,,
657,1843, 27/12/09,,
658,1844, 27/12/09,,
659,1845, 27/12/09,,
660,1846, 16/01/12,,
661,1847, 27/12/09,,
662,1848, 06/11/09,,
663,1851, 27/12/09,,
664,1852, 29/07/10,,
665,1853, 13/10/10,,
666,1854, 27/12/09,,
667,1855, 27/12/09,,
668,1858, 13/10/10,,
669,1859, 20/09/08,,
670,1860, 21/07/11,,
671,1861, 30/08/09,,
672,1862, 27/12/09,,
673,1863, 16/01/12,,
674,1864, 27/12/09,,
675,1865, 27/12/09,,
676,1868, 06/11/09,,
677,1869, 27/12/09,,
678,1870, 16/01/12,,
679,1871, 27/12/09,,
680,1873, 27/12/09,,
681,1874, 12/02/13,,
682,1875, 27/12/09,,
683,1876, 06/11/09,,
684,1877, 22/10/09,,
685,1878, 27/12/09,,
686,1880, 27/12/09,,
687,1883, 01/07/13,,
688,1885, 27/12/09,,
689,1887, 27/12/09,,
690,1888, 27/12/09,,
691,1890, 14/10/08,,
692,1891, 27/12/09,,
693,1893, 27/12/09,,
694,1894, 30/03/11,,
695,1895, 17/12/10,,
696,1896, 06/10/09,,
697,1897, 01/03/09,,
698,1898, 28/06/09,,
699,1899, 27/12/09,,
700,1902, 14/11/11,,
701,1904, 07/02/09,,
702,1905, 15/04/13,,
703,1906, 21/02/09,,
704,1908, 23/04/11,,
705,1909, 11/09/12,,
706,1911, 25/11/09,,
707,1913, 19/07/09,,
708,1915, 22/04/10,,
709,1917, 27/12/09,,
710,1918, 20/06/09,,
711,1920, 28/12/09,,
712,1921, 30/10/10,,
713,1922, 09/02/09,,
714,1923, 20/10/10,,
715,1925, 27/12/09,,
716,1926, 01/09/10,,
717,1927, 17/05/10,,
718,1930, 13/10/10,,
719,1932, 04/08/09,,
720,1933, 18/01/09,,
721,1934, 19/08/09,,
722,1936, 05/04/12,,
723,1937, 14/04/10,,
724,1938, 25/06/09,,
725,1940, 11/09/11,,
726,1941, 13/09/08,,
727,1942, 19/07/12,,
728,1943, 30/09/09,,
729,1944, 14/09/09,,
730,1946, 24/08/10,,
731,1947, 24/08/10,,
732,1948, 28/12/09,,
733,1949, 15/11/11,,
734,1950, 31/03/09,,
735,1952, 12/01/12,,
736,1954, 03/08/13,,
737,1955, 17/07/12,,
738,1956, 28/08/09,,
739,1957, 29/03/10,,
