CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
106,35,2016-03-06,NORMAL,NONE,0,,,,,,,6
107,36,2013-03-26,NORMAL,NONE,0,,,,,,,3
108,36,2015-04-16,NORMAL,NONE,0,,,,,,,5
109,36,2016-03-05,NORMAL,NONE,0,,,,,,,6
110,37,2013-03-05,NORMAL,NONE,0,,,,,,,3
111,37,2015-04-02,NORMAL,NONE,0,,,,,,,5
112,37,2016-03-04,NORMAL,NONE,0,,,,,,,6
113,38,2013-03-15,NORMAL,NONE,0,,,,,,,3
114,38,2015-04-04,NORMAL,NONE,0,,,,,,,5
115,39,2013-03-06,NORMAL,NONE,0,,,,,,,3
116,40,2013-03-07,NORMAL,NONE,0,,,,,,,3
117,40,2015-04-23,NORMAL,NONE,0,,,,,,,5
118,41,2013-03-11,NORMAL,NONE,0,,,,,,,3
119,41,2015-04-11,NORMAL,NONE,0,,,,,,,5
120,41,2016-06-08,NORMAL,NONE,0,,,,,,,4
121,42,2012-11-30,NORMAL,NONE,0,,,,,,,2
122,42,2015-07-09,NORMAL,NONE,0,,,,,,,5
123,43,2012-10-30,NORMAL,NONE,0,,,,,,,2
124,43,2014-11-20,NORMAL,NONE,0,,,,,,,4
125,43,2015-11-21,NORMAL,NONE,0,,,,,,,5
126,43,2016-11-17,NORMAL,NONE,0,,,,,,,3
127,44,2013-03-01,NORMAL,NONE,0,,,,,,,2
128,44,2014-02-14,NORMAL,NONE,0,,,,,,,3
129,44,2015-09-27,NORMAL,NONE,0,,,,,,,4
130,44,2016-09-08,NORMAL,NONE,0,,,,,,,3
131,45,2012-03-10,NORMAL,NONE,0,,,,,,,2
132,45,2014-08-20,NORMAL,NONE,0,,,,,,,3
133,45,2015-09-12,NORMAL,NONE,0,,,,,,,4
134,46,2012-10-24,NORMAL,NONE,0,,,,,,,2
135,46,2014-11-07,NORMAL,NONE,0,,,,,,,4
136,46,2016-06-21,NORMAL,NONE,0,,,,,,,3
137,47,2012-09-08,NORMAL,NONE,0,,,,,,,2
138,47,2014-06-19,NORMAL,NONE,0,,,,,,,3
139,48,2014-09-08,NORMAL,NONE,0,,,,,,,4
140,48,2015-09-08,NORMAL,NONE,0,,,,,,,5
141,50,2013-02-25,NORMAL,NONE,0,,,,,,,2
142,50,2015-04-08,NORMAL,NONE,0,,,,,,,4
143,50,2016-03-09,NORMAL,NONE,0,,,,,,,5
144,51,2012-03-05,NORMAL,NONE,0,,,,,,,2
145,51,2013-09-10,NORMAL,NONE,0,,,,,,,3
146,52,2012-09-11,NORMAL,NONE,0,,,,,,,2
147,52,2014-11-11,NORMAL,NONE,0,,,,,,,4
148,52,2016-06-14,NORMAL,NONE,0,,,,,,,3
149,53,2012-09-09,NORMAL,NONE,0,,,,,,,2
150,53,2015-07-06,NORMAL,NONE,0,,,,,,,5
151,53,2016-06-10,NORMAL,NONE,0,,,,,,,3
152,54,2012-09-10,NORMAL,NONE,0,,,,,,,2
153,54,2015-07-06,NORMAL,NONE,0,,,,,,,5
154,54,2016-06-10,NORMAL,NONE,0,,,,,,,3
155,55,2012-09-07,NORMAL,NONE,0,,,,,,,2
156,55,2014-11-18,NORMAL,NONE,0,,,,,,,4
157,55,2015-11-17,NORMAL,NONE,0,,,,,,,5
158,55,2016-11-22,NORMAL,NONE,0,,,,,,,3
159,56,2012-11-08,NORMAL,NONE,0,,,,,,,2
160,56,2014-11-11,NORMAL,NONE,0,,,,,,,4
161,56,2015-11-21,NORMAL,NONE,0,,,,,,,5
162,57,2012-03-08,NORMAL,NONE,0,,,,,,,2
163,57,2015-07-10,NORMAL,NONE,0,,,,,,,3
164,58,2012-09-15,NORMAL,NONE,0,,,,,,,2
165,58,2014-09-15,NORMAL,NONE,0,,,,,,,4
168,59,2015-04-04,NORMAL,NONE,0,,,,,,,3
169,59,2016-03-07,NORMAL,NONE,0,,,,,,,4
170,60,2012-11-13,NORMAL,NONE,0,,,,,,,2
171,60,2013-11-14,NORMAL,NONE,0,,,,,,,3
172,60,2016-06-14,NORMAL,NONE,0,,,,,,,3
173,61,2013-02-25,NORMAL,NONE,0,,,,,,,2
174,61,2015-04-05,NORMAL,NONE,0,,,,,,,4
175,62,2013-06-18,NORMAL,NONE,0,,,,,,,4
176,62,2014-09-12,NORMAL,NONE,0,,,,,,,5
177,62,2015-09-15,NORMAL,NONE,0,,,,,,,6
178,63,2013-03-05,NORMAL,NONE,0,,,,,,,3
179,63,2015-04-04,NORMAL,NONE,0,,,,,,,5
180,63,2016-03-08,NORMAL,NONE,0,,,,,,,6
181,64,2012-11-15,NORMAL,NONE,0,,,,,,,2
182,64,2015-07-10,NORMAL,NONE,0,,,,,,,4
183,64,2016-06-12,NORMAL,NONE,0,,,,,,,3
184,65,2012-03-14,NORMAL,NONE,0,,,,,,,1
185,65,2014-09-10,NORMAL,NONE,0,,,,,,,2
186,65,2015-09-12,NORMAL,NONE,0,,,,,,,3
187,66,2011-09-07,NORMAL,NONE,0,,,,,,,1
188,66,2014-11-22,NORMAL,NONE,0,,,,,,,3
189,67,2012-09-07,NORMAL,NONE,0,,,,,,,2
192,68,2013-06-17,NORMAL,NONE,0,,,,,,,4
193,68,2015-07-03,NORMAL,NONE,0,,,,,,,6
194,68,2016-06-08,NORMAL,NONE,0,,,,,,,5
195,69,2012-09-11,NORMAL,NONE,0,,,,,,,2
196,69,2014-08-30,NORMAL,NONE,0,,,,,,,4
199,70,2012-09-16,NORMAL,NONE,0,,,,,,,2
200,70,2015-07-12,NORMAL,NONE,0,,,,,,,5
201,70,2016-06-11,NORMAL,NONE,0,,,,,,,3
202,71,2012-11-21,NORMAL,NONE,0,,,,,,,2
203,71,2014-11-15,NORMAL,NONE,0,,,,,,,4
204,71,2015-11-23,NORMAL,NONE,0,,,,,,,5
205,72,2013-03-04,NORMAL,NONE,0,,,,,,,3
206,72,2014-03-13,NORMAL,NONE,0,,,,,,,4
207,72,2015-12-04,NORMAL,NONE,0,,,,,,,5
208,73,2012-11-23,NORMAL,NONE,0,,,,,,,2
209,73,2013-11-19,NORMAL,NONE,0,,,,,,,3
210,74,2013-03-01,NORMAL,NONE,0,,,,,,,2
211,74,2015-04-11,NORMAL,NONE,0,,,,,,,4
212,74,2015-11-23,NORMAL,NONE,0,,,,,,,5
213,74,2016-11-26,NORMAL,NONE,0,,,,,,,3
