ServKey,CowKey,servDate,servType,Sire,Technician
199,421, 17/03/14,AI,,
200,425, 01/04/15,AI,,
201,427, 01/04/13,AI,,
202,429, 23/03/16,AI,,
203,429, 10/06/15,AI,,
204,431, 19/07/12,AI,,
205,432, 01/01/16,AI,,
206,433, 26/07/12,AI,,
207,435, 10/06/15,AI,,
208,437, 15/01/13,AI,,
209,438, 28/09/12,AI,,
210,439, 01/10/12,AI,,
211,440, 10/06/15,AI,,
212,441, 15/01/13,AI,,
213,443, 07/01/13,AI,,
214,448, 25/04/13,AI,,
215,450, 01/04/12,AI,,
216,453, 01/04/15,AI,,
217,457, 03/02/15,AI,,
218,458, 18/10/15,AI,,
219,458, 10/06/15,AI,,
220,458, 01/01/16,AI,,
221,461, 01/01/16,AI,,
222,463, 26/07/16,AI,,
223,463, 18/10/15,AI,,
224,463, 10/06/15,AI,,
225,467, 26/07/16,AI,,
226,467, 18/10/15,AI,,
227,467, 01/01/16,AI,,
228,471, 01/10/15,AI,,
229,471, 01/10/14,AI,,
230,472, 01/01/14,AI,,
231,475, 01/01/12,AI,,
232,477, 01/06/11,AI,,
233,484, 23/03/16,AI,,
234,484, 10/06/15,AI,,
235,489, 01/09/13,AI,,
236,490, 07/01/13,AI,,
237,491, 21/04/15,AI,,
238,492, 01/06/11,AI,,
239,493, 01/04/15,AI,,
240,496, 28/07/13,AI,,
241,497, 01/04/13,AI,,
242,500, 01/10/12,AI,,
243,501, 03/02/15,AI,,
244,505, 01/06/12,AI,,
245,507, 07/01/13,AI,,
246,508, 01/06/14,AI,,
247,509, 01/04/12,AI,,
248,511, 11/06/13,AI,,
249,512, 26/07/16,AI,,
250,512, 10/06/15,AI,,
251,513, 23/03/16,AI,,
252,513, 10/06/15,AI,,
253,515, 07/01/13,AI,,
254,517, 23/03/16,AI,,
255,517, 10/06/15,AI,,
256,518, 01/04/12,AI,,
257,519, 21/04/15,AI,,
258,520, 10/06/15,AI,,
259,521, 07/01/13,AI,,
260,522, 08/07/15,AI,,
261,522, 04/09/15,AI,,
262,524, 24/09/15,AI,,
263,525, 10/06/15,AI,,
264,526, 01/06/14,AI,,
265,528, 01/04/12,AI,,
266,529, 15/04/13,AI,,
267,530, 01/01/12,AI,,
268,532, 01/04/13,AI,,
269,537, 01/01/12,AI,,
270,538, 07/01/13,AI,,
271,539, 23/03/16,AI,,
272,540, 24/09/15,AI,,
273,543, 01/10/12,AI,,
274,545, 08/05/12,AI,,
275,546, 24/09/15,AI,,
276,547, 01/01/14,AI,,
277,548, 01/04/12,AI,,
278,549, 01/01/16,AI,,
279,550, 25/11/12,AI,,
280,555, 24/07/15,AI,,
281,557, 23/03/16,AI,,
282,557, 10/06/15,AI,,
283,558, 07/01/13,AI,,
284,559, 10/06/15,AI,,
285,559, 06/02/16,AI,,
286,560, 15/01/13,AI,,
287,561, 03/02/15,AI,,
288,567, 01/01/16,AI,,
289,568, 08/07/15,AI,,
290,568, 04/09/15,AI,,
291,569, 09/12/14,AI,,
292,571, 01/01/12,AI,,
293,572, 01/06/11,AI,,
294,575, 29/05/16,AI,,
295,575, 18/10/15,AI,,
296,578, 01/10/12,AI,,
297,582, 26/07/16,AI,,
298,582, 01/01/16,AI,,
299,585, 01/06/12,AI,,
300,586, 29/05/16,AI,,
301,586, 10/06/15,AI,,
302,588, 01/01/15,AI,,
303,589, 03/02/15,AI,,
304,591, 10/06/15,AI,,
305,592, 01/10/14,AI,,
306,596, 07/01/13,AI,,
307,602, 01/10/12,AI,,
308,604, 07/01/13,AI,,
309,605, 07/05/14,AI,,
310,611, 01/01/16,AI,,
311,615, 07/01/13,AI,,
312,622, 01/04/15,AI,,
313,623, 03/12/12,AI,,
314,624, 01/04/13,AI,,
315,627, 01/06/12,AI,,
316,628, 21/04/12,AI,,
317,630, 07/01/13,AI,,
318,635, 01/04/13,AI,,
319,639, 21/04/15,AI,,
320,640, 24/09/14,AI,,
321,641, 15/01/13,AI,,
322,643, 10/06/15,AI,,
323,644, 07/01/13,AI,,
324,653, 11/05/14,AI,,
325,656, 03/10/11,AI,,
326,663, 10/06/15,AI,,
327,665, 12/08/14,AI,,
328,666, 01/01/16,AI,,
329,672, 01/06/14,AI,,
330,675, 15/01/13,AI,,
331,677, 23/03/16,AI,,
332,677, 10/06/15,AI,,
333,678, 07/01/13,AI,,
334,680, 01/01/12,AI,,
335,683, 01/01/12,AI,,
336,684, 24/09/14,AI,,
337,686, 15/01/13,AI,,
338,689, 19/09/12,AI,,
339,690, 07/01/13,AI,,
340,692, 15/01/13,AI,,
341,694, 08/07/15,AI,,
342,694, 04/09/15,AI,,
343,696, 07/01/13,AI,,
344,698, 26/07/16,AI,,
345,699, 01/04/13,AI,,
346,701, 31/08/15,AI,,
347,707, 15/01/13,AI,,
348,723, 07/01/13,AI,,
349,728, 01/01/14,AI,,
350,735, 26/02/14,AI,,
351,736, 07/01/13,AI,,
352,738, 01/01/16,AI,,
353,739, 01/09/13,AI,,
354,741, 01/01/16,AI,,
355,742, 01/04/13,AI,,
356,745, 13/02/13,AI,,
357,750, 07/01/13,AI,,
358,751, 18/10/15,AI,,
359,752, 28/09/12,AI,,
360,753, 01/10/12,AI,,
361,754, 31/03/12,AI,,
362,756, 21/04/15,AI,,
363,757, 07/01/13,AI,,
364,761, 01/04/15,AI,,
365,765, 23/03/16,AI,,
366,765, 10/06/15,AI,,
367,767, 07/01/12,AI,,
368,772, 25/09/15,AI,,
369,772, 01/04/15,AI,,
370,773, 01/04/15,AI,,
371,777, 01/06/11,AI,,
372,778, 07/01/13,AI,,
373,781, 01/04/15,AI,,
374,782, 12/08/14,AI,,
375,783, 01/10/12,AI,,
376,784, 01/01/16,AI,,
377,785, 01/01/14,AI,,
378,791, 15/01/13,AI,,
379,798, 01/01/12,AI,,
380,799, 07/01/13,AI,,
381,801, 24/07/15,AI,,
382,806, 24/07/15,AI,,
383,807, 24/09/14,AI,,
384,810, 24/09/15,AI,,
385,813, 01/04/13,AI,,
386,814, 28/09/12,AI,,
387,817, 01/04/15,AI,,
388,821, 20/03/14,AI,,
389,824, 25/10/11,AI,,
390,825, 08/07/15,AI,,
391,825, 04/09/15,AI,,
392,826, 01/10/12,AI,,
393,832, 01/10/12,AI,,
394,840, 01/10/12,AI,,
395,845, 01/04/13,AI,,
396,846, 15/01/13,AI,,
397,848, 01/10/12,AI,,
398,849, 23/03/16,AI,,
399,849, 10/06/15,AI,,
400,852, 01/01/12,AI,,
401,853, 01/01/12,AI,,
402,854, 01/04/15,AI,,
403,857, 01/01/12,AI,,
404,859, 07/01/13,AI,,
405,860, 01/10/14,AI,,
406,861, 24/07/15,AI,,
407,864, 01/02/12,AI,,
408,865, 01/09/15,AI,,
409,866, 01/04/13,AI,,
410,867, 10/06/15,AI,,
411,873, 24/09/15,AI,,
412,874, 08/07/15,AI,,
413,874, 04/09/15,AI,,
414,876, 03/02/15,AI,,
415,900, 24/07/15,AI,,
416,903, 01/04/13,AI,,
417,904, 01/01/12,AI,,
418,905, 01/06/14,AI,,
419,908, 10/06/15,AI,,
420,911, 24/07/15,AI,,
421,912, 01/01/12,AI,,
422,913, 12/08/14,AI,,
423,915, 07/01/13,AI,,
424,919, 24/09/14,AI,,
425,922, 24/09/15,AI,,
