ProdKey,CowKey,testDate,LTDDate,HTFatPC,HTProtPC,HTLactPC,HTLitreAM,HTLitrePM,HTLitreTot,LtdLitre,LtdFatKg,LtdProtKg,LtdLactKg,StdLacDays,SCC,LW,LWRel,PayPW,PayPWRel,AbCode,Assessed,Withheld,comment,LtdDays,MilkPI,FatPI,ProteinPI,LtdVol305,LtdVolEx,LtdFatKg305,LtdFatKgEx,LtdProtKg305,LtdProtKgEx,LtdLactKg305,LtdLactKgEx,DL_LTDDate,DL_LtdLitre,DL_LtdFatKg,DL_LtdProtKg,DL_LtdLactKg,DL_LtdDays,BSTFlag
41,956,20/01/2016,20/01/2016,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
42,959,20/01/2016,20/01/2016,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
43,967,20/01/2016,20/01/2016,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
44,976,20/01/2016,20/01/2016,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
45,983,20/01/2016,20/01/2016,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
46,4010,20/01/2016,20/01/2016,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
47,4017,20/01/2016,20/01/2016,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
48,4018,20/01/2016,20/01/2016,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
49,4031,20/01/2016,20/01/2016,,,,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
50,4039,20/01/2016,20/01/2016,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
